CODNEG,1,2,3,4,PREULT
ABEV3       ,30734197200,1614,1656,1577,1601
ABEV3       ,21337300100,1591,1597,1554,1566
ABEV3       ,29638958800,1573,1622,1556,1611
ABEV3       ,32673643400,1634,1672,1614,1651
ABEV3       ,14764619400,1643,1668,1626,1648
ABEV3       ,17997172900,1647,1665,1630,1647
ABEV3       ,18607190900,1655,1682,1641,1678
ABEV3       ,32047053900,1670,1699,1666,1672
ABEV3       ,15382148200,1653,1679,1653,1667
ABEV3       ,20958928300,1669,1699,1661,1668
ABEV3       ,15372639500,1674,1700,1669,1690
ABEV3       ,10288137600,1681,1690,1654,1664
ABEV3       ,11890910800,1678,1695,1669,1688
ABEV3       ,15869746400,1695,1720,1684,1710
ABEV3       ,22478295700,1720,1740,1698,1722
ABEV3       ,12287000700,1705,1721,1699,1710
ABEV3       ,12267792400,1688,1712,1681,1702
ABEV3       ,16646615500,1687,1703,1677,1695
ABEV3       ,16470717000,1683,1718,1678,1711
ABEV3       ,29493706300,1708,1772,1695,1767
ABEV3       ,32860340300,1744,1787,1731,1763
ABEV3       ,16480395200,1752,1763,1728,1739
ABEV3       ,17437942800,1758,1772,1738,1750
ABEV3       ,19672987000,1752,1770,1722,1733
ABEV3       ,18606816100,1734,1768,1716,1760
ABEV3       ,17637862300,1759,1792,1735,1785
ABEV3       ,18284396300,1788,1816,1775,1816
ABEV3       ,18484843100,1806,1813,1783,1798
ABEV3       ,21886775100,1797,1807,1768,1784
ABEV3       ,17450914800,1809,1819,1796,1810
ABEV3       ,15912347700,1814,1822,1781,1796
ABEV3       ,23227311700,1813,1838,1805,1825
ABEV3       ,8134594900,1816,1836,1806,1824
ABEV3       ,9782375800,1829,1830,1805,1820
ABEV3       ,16740048300,1816,1848,1816,1838
ABEV3       ,17504355800,1848,1860,1836,1854
ABEV3       ,17634667900,1844,1844,1817,1830
ABEV3       ,27534035100,1839,1839,1808,1830
ABEV3       ,35611990100,1831,1888,1829,1834
ABEV3       ,16018629900,1831,1833,1803,1808
ABEV3       ,16543596000,1818,1852,1805,1843
ABEV3       ,22785856900,1814,1842,1800,1823
ABEV3       ,21535653500,1834,1853,1821,1832
ABEV3       ,13140572500,1837,1844,1811,1822
ABEV3       ,18820305200,1811,1832,1802,1828
ABEV3       ,23713667900,1818,1829,1770,1770
ABEV3       ,17772646400,1765,1815,1760,1811
ABEV3       ,20913196600,1830,1837,1784,1806
ABEV3       ,29178108300,1759,1819,1750,1809
ABEV3       ,14062456300,1825,1836,1796,1803
ABEV3       ,20201657400,1818,1831,1803,1822
ABEV3       ,25976017500,1814,1870,1808,1846
ABEV3       ,13229221300,1839,1860,1830,1849
ABEV3       ,31109726800,1866,1890,1857,1864
ABEV3       ,16431326900,1871,1897,1857,1880
ABEV3       ,14501132100,1885,1889,1842,1853
ABEV3       ,19407874200,1874,1890,1838,1843
ABEV3       ,28344197100,1833,1838,1802,1810
ABEV3       ,16740637000,1808,1837,1800,1824
ABEV3       ,14027711000,1827,1865,1827,1864
ABEV3       ,15681488100,1840,1861,1832,1845
ABEV3       ,36524742000,1865,1900,1842,1888
ABEV3       ,30438072300,1885,1906,1869,1886
ABEV3       ,19675442300,1899,1938,1892,1923
ABEV3       ,20880980500,1939,1960,1925,1943
ABEV3       ,21133311900,1964,1969,1930,1945
ABEV3       ,17071812500,1938,1962,1922,1935
ABEV3       ,20092736900,1929,1959,1925,1950
ABEV3       ,15117358500,1941,1961,1941,1947
ABEV3       ,17097121100,1952,1954,1906,1910
ABEV3       ,21392891100,1929,1936,1900,1910
ABEV3       ,19223007700,1904,1913,1893,1910
ABEV3       ,18264723800,1900,1919,1894,1895
ABEV3       ,18230088900,1900,1918,1875,1890
ABEV3       ,19335574000,1897,1900,1873,1895
ABEV3       ,21570943100,1892,1905,1871,1888
ABEV3       ,17175471300,1903,1910,1885,1890
ABEV3       ,23703562600,1899,1905,1871,1880
ABEV3       ,19092317800,1899,1899,1861,1889
ABEV3       ,16452256800,1877,1891,1873,1883
ABEV3       ,17421570600,1875,1900,1875,1894
ABEV3       ,18880921800,1903,1948,1900,1935
ABEV3       ,22127018900,1920,1973,1913,1961
ABEV3       ,38067346700,1975,2029,1954,1970
ABEV3       ,12829156800,1972,1978,1946,1960
ABEV3       ,20771045300,1978,1992,1952,1985
ABEV3       ,10092732800,1975,1988,1965,1982
ABEV3       ,19723883400,1968,1979,1944,1954
ABEV3       ,13335808700,1948,1952,1926,1942
ABEV3       ,13951998000,1955,1967,1932,1944
ABEV3       ,18311127500,1934,1965,1934,1958
ABEV3       ,21674364900,1958,1976,1925,1936
ABEV3       ,15132242400,1938,1943,1915,1926
ABEV3       ,20327020300,1900,1909,1866,1871
ABEV3       ,18918264600,1851,1889,1845,1878
ABEV3       ,22936016700,1888,1899,1859,1878
ABEV3       ,4794852100,1874,1895,1859,1883
ABEV3       ,18168085300,1868,1890,1845,1854
ABEV3       ,16755840500,1845,1857,1827,1847
ABEV3       ,16350435500,1830,1854,1815,1848
ABEV3       ,35673123200,1835,1855,1822,1840
ABEV3       ,14758743900,1850,1867,1848,1853
ABEV3       ,21712499500,1858,1862,1840,1858
ABEV3       ,21602541400,1857,1857,1809,1840
ABEV3       ,27596900200,1850,1865,1834,1865
ABEV3       ,24033534300,1866,1881,1849,1853
ABEV3       ,28985963500,1845,1856,1840,1846
ABEV3       ,19152378900,1868,1883,1851,1880
ABEV3       ,22743875300,1881,1899,1867,1875
ABEV3       ,12766572700,1863,1881,1861,1868
ABEV3       ,16994030000,1853,1856,1835,1842
ABEV3       ,24353575400,1855,1887,1847,1874
ABEV3       ,17262105900,1865,1874,1850,1869
ABEV3       ,20118147800,1874,1893,1846,1880
ABEV3       ,22458750100,1859,1891,1859,1890
ABEV3       ,19642295300,1898,1916,1888,1897
ABEV3       ,12305064400,1910,1920,1897,1898
ABEV3       ,12186357400,1902,1913,1889,1895
ABEV3       ,16020473700,1893,1898,1875,1894
ABEV3       ,18604054400,1889,1924,1886,1918
ABEV3       ,11126280000,1910,1910,1891,1900
ABEV3       ,37009378000,1900,1917,1894,1910
ABEV3       ,19840837000,1905,1927,1905,1910
ABEV3       ,17597953900,1923,1934,1902,1908
ABEV3       ,5811928800,1901,1920,1892,1918
ABEV3       ,13401084300,1897,1928,1895,1920
ABEV3       ,18419666100,1907,1935,1903,1925
ABEV3       ,16559843600,1924,1934,1909,1914
ABEV3       ,30602168300,1930,1961,1920,1950
ABEV3       ,19847583900,1957,1975,1953,1957
ABEV3       ,17539188200,1951,1970,1944,1961
ABEV3       ,18697993700,1953,1970,1953,1969
ABEV3       ,19260726400,1980,1989,1956,1969
ABEV3       ,21355254000,1969,1989,1962,1972
ABEV3       ,17938737400,1971,1982,1960,1968
ABEV3       ,14787618200,1978,1985,1947,1960
ABEV3       ,15157002200,1948,1978,1934,1950
ABEV3       ,23834798700,1933,1948,1915,1929
ABEV3       ,23588398500,1923,1928,1891,1904
ABEV3       ,20344937200,1893,1904,1864,1873
ABEV3       ,26118863500,1880,1890,1839,1879
ABEV3       ,25047632500,1865,1895,1861,1875
ABEV3       ,18315700400,1877,1898,1869,1891
ABEV3       ,25562405700,1902,1948,1896,1946
ABEV3       ,16750609100,1935,1964,1932,1953
ABEV3       ,18160597700,1946,1974,1946,1973
ABEV3       ,16158880500,1980,1995,1957,1995
ABEV3       ,26691023200,1982,2006,1971,1986
ABEV3       ,19584429300,1976,1985,1937,1952
ABEV3       ,16280475400,1952,1970,1944,1957
ABEV3       ,21115474200,1957,1962,1935,1955
ABEV3       ,49683432400,1950,1965,1878,1884
ABEV3       ,21048797500,1897,1914,1861,1875
ABEV3       ,15765244600,1868,1880,1856,1861
ABEV3       ,19830334700,1860,1875,1850,1855
ABEV3       ,34374134900,1854,1923,1846,1878
ABEV3       ,30006783000,1856,1880,1815,1820
ABEV3       ,22445858700,1805,1852,1793,1843
ABEV3       ,21708787900,1832,1843,1804,1813
ABEV3       ,45899839500,1735,1809,1696,1796
ABEV3       ,40867839300,1838,1860,1810,1840
ABEV3       ,26559745600,1852,1890,1843,1885
ABEV3       ,30363095700,1900,1935,1875,1910
ABEV3       ,22225109100,1902,1920,1882,1920
ABEV3       ,42409288300,1900,1915,1855,1909
ABEV3       ,28099994400,1865,1900,1862,1871
ABEV3       ,31792635600,1887,1917,1865,1914
ABEV3       ,37092705400,1928,1968,1896,1963
ABEV3       ,57224793000,1945,1987,1938,1985
ABEV3       ,25596932700,2007,2018,1945,1961
ABEV3       ,24257086800,1965,1982,1914,1921
ABEV3       ,29913504600,1862,1944,1855,1917
ABEV3       ,22855452700,1908,1913,1875,1886
ABEV3       ,30938527200,1890,1903,1868,1886
ABEV3       ,24001945900,1894,1920,1881,1906
ABEV3       ,64362088500,1950,1963,1922,1945
ABEV3       ,29435736800,1927,1977,1926,1949
ABEV3       ,34632740200,1930,1977,1922,1947
ABEV3       ,16110744400,1926,1960,1921,1933
ABEV3       ,23813299200,1921,1944,1908,1940
ABEV3       ,28031713500,1942,1944,1910,1917
ABEV3       ,23632920900,1885,1933,1871,1912
ABEV3       ,17375405600,1930,1972,1904,1930
ABEV3       ,15492587300,1932,1941,1905,1928
ABEV3       ,17519452800,1928,1953,1920,1936
ABEV3       ,24024371000,1960,1975,1935,1942
ABEV3       ,21771045900,1941,1981,1935,1970
ABEV3       ,20339259500,1959,2012,1956,2006
ABEV3       ,15892727700,2033,2046,2019,2035
ABEV3       ,23398173600,2040,2044,1972,1989
ABEV3       ,29191932300,2011,2015,1984,2000
