CODNEG,1,2,3,4,PREULT
B3SA3       ,12946157000,2580,2610,2525,2566
B3SA3       ,9418234400,2579,2590,2545,2559
B3SA3       ,21356453700,2530,2630,2516,2610
B3SA3       ,19917010900,2621,2685,2599,2669
B3SA3       ,14902493700,2635,2670,2603,2649
B3SA3       ,22785181000,2658,2699,2607,2645
B3SA3       ,16368995600,2584,2625,2556,2617
B3SA3       ,22637001500,2680,2715,2647,2677
B3SA3       ,21886510000,2667,2687,2611,2681
B3SA3       ,16815140400,2698,2698,2597,2620
B3SA3       ,17976125000,2630,2640,2560,2628
B3SA3       ,15357042500,2622,2659,2590,2655
B3SA3       ,21140684100,2650,2709,2642,2689
B3SA3       ,27989251600,2670,2682,2612,2642
B3SA3       ,19841435800,2652,2652,2534,2538
B3SA3       ,25456753900,2545,2585,2490,2567
B3SA3       ,33213386000,2589,2667,2561,2625
B3SA3       ,13357544400,2617,2631,2575,2606
B3SA3       ,14558951600,2580,2595,2557,2570
B3SA3       ,16168437300,2555,2574,2534,2574
B3SA3       ,14404309100,2587,2595,2506,2530
B3SA3       ,18146226600,2496,2526,2475,2506
B3SA3       ,8949447700,2510,2573,2504,2567
B3SA3       ,9969397700,2594,2599,2561,2583
B3SA3       ,16750520200,2600,2600,2522,2530
B3SA3       ,34338659300,2506,2510,2446,2461
B3SA3       ,29548366300,2440,2469,2412,2416
B3SA3       ,22058534300,2410,2444,2371,2404
B3SA3       ,10411154200,2406,2427,2377,2398
B3SA3       ,14648818800,2400,2432,2379,2389
B3SA3       ,18181844500,2391,2415,2361,2406
B3SA3       ,30884524100,2421,2472,2407,2468
B3SA3       ,33969570100,2452,2473,2351,2360
B3SA3       ,35037889100,2367,2369,2278,2329
B3SA3       ,34518960300,2300,2311,2251,2280
B3SA3       ,17971845700,2264,2354,2264,2308
B3SA3       ,41966459900,2276,2303,2182,2211
B3SA3       ,30944792500,2183,2228,2146,2228
B3SA3       ,19534322200,2246,2250,2202,2215
B3SA3       ,32156668700,2237,2348,2228,2335
B3SA3       ,19632186700,2295,2312,2210,2210
B3SA3       ,37837181600,2180,2202,2128,2160
B3SA3       ,44436437100,2167,2186,2085,2102
B3SA3       ,21075176200,2081,2100,2030,2053
B3SA3       ,34083607100,2110,2174,2055,2073
B3SA3       ,45850999000,2051,2190,2050,2177
B3SA3       ,43247627000,2198,2263,2151,2225
B3SA3       ,40862732900,2249,2307,2232,2282
B3SA3       ,35689166900,2250,2283,2152,2212
B3SA3       ,24598446900,2183,2208,2113,2141
B3SA3       ,76591452500,2062,2110,1958,2000
B3SA3       ,48195188600,1998,2126,1954,2084
B3SA3       ,14944967500,2110,2133,2005,2042
B3SA3       ,32364849800,2069,2124,2050,2100
B3SA3       ,28029299700,2100,2104,2000,2067
B3SA3       ,33863717700,2075,2091,2003,2015
B3SA3       ,46969463600,2000,2009,1931,1979
B3SA3       ,20340400600,1950,1967,1910,1921
B3SA3       ,49448795300,1895,2023,1892,1993
B3SA3       ,17450304400,2010,2034,1960,1978
B3SA3       ,17043069000,1956,1987,1943,1957
B3SA3       ,16921461400,1965,1998,1949,1997
B3SA3       ,25046232400,2000,2104,1980,2069
B3SA3       ,23702280100,2082,2095,2042,2064
B3SA3       ,17549675000,2045,2062,2008,2020
B3SA3       ,15587179500,2010,2056,1981,2052
B3SA3       ,20010040000,2084,2088,2040,2045
B3SA3       ,7371801000,2045,2070,2011,2064
B3SA3       ,13215681800,2085,2138,2045,2089
B3SA3       ,5714372000,2080,2115,2057,2114
B3SA3       ,13692513900,2095,2118,2064,2101
B3SA3       ,16828376300,2105,2197,2100,2175
B3SA3       ,75980905000,2199,2259,2187,2237
B3SA3       ,26427631100,2220,2265,2220,2238
B3SA3       ,21698342700,2249,2314,2245,2306
B3SA3       ,24037939800,2318,2382,2307,2382
B3SA3       ,32636680800,2380,2380,2310,2350
B3SA3       ,32358015800,2340,2427,2333,2394
B3SA3       ,22688576500,2371,2400,2309,2322
B3SA3       ,39285651300,2300,2310,2253,2310
B3SA3       ,27076493500,2391,2400,2310,2325
B3SA3       ,18951412900,2304,2314,2278,2299
B3SA3       ,13781180200,2324,2345,2306,2324
B3SA3       ,21878975000,2331,2421,2329,2378
B3SA3       ,12434509600,2355,2408,2327,2355
B3SA3       ,7889645200,2369,2388,2341,2365
B3SA3       ,12930326500,2388,2398,2333,2375
B3SA3       ,16903827400,2350,2379,2337,2379
