CODNEG,1,2,3,4,PREULT
BBAS3       ,10425417700,2343,2367,2222,2265
BBAS3       ,12125198900,2258,2270,2190,2218
BBAS3       ,16282625300,2223,2277,2198,2249
BBAS3       ,9537481900,2294,2408,2274,2348
BBAS3       ,7083603700,2377,2398,2322,2356
BBAS3       ,8378459200,2350,2355,2251,2254
BBAS3       ,7348127500,2256,2300,2202,2215
BBAS3       ,14650978600,2232,2271,2182,2202
BBAS3       ,14158760000,2185,2275,2160,2218
BBAS3       ,13805330800,2236,2290,2204,2204
BBAS3       ,19007396300,2241,2288,2223,2230
BBAS3       ,9765482200,2230,2281,2209,2220
BBAS3       ,14319256900,2270,2288,2202,2210
BBAS3       ,14589114000,2235,2278,2222,2266
BBAS3       ,21356962400,2275,2325,2272,2285
BBAS3       ,8706985000,2283,2312,2256,2279
BBAS3       ,9038090600,2257,2277,2225,2253
BBAS3       ,13364952100,2237,2306,2193,2300
BBAS3       ,12911829500,2264,2290,2201,2201
BBAS3       ,11579220100,2225,2226,2144,2155
BBAS3       ,13525985500,2130,2133,2060,2066
BBAS3       ,17729683000,2079,2101,1990,2020
BBAS3       ,17255599700,2048,2111,2027,2085
BBAS3       ,20126578200,2098,2243,2098,2230
BBAS3       ,13322127200,2209,2339,2208,2279
BBAS3       ,12459832500,2250,2250,2173,2190
BBAS3       ,9208286500,2170,2246,2155,2246
BBAS3       ,13777981900,2250,2306,2171,2171
BBAS3       ,18634949000,2200,2240,2170,2195
BBAS3       ,14917753100,2231,2311,2215,2311
BBAS3       ,18955220900,2322,2460,2316,2460
BBAS3       ,23582951600,2469,2509,2388,2395
BBAS3       ,10597236000,2403,2438,2363,2435
BBAS3       ,6408801600,2448,2448,2375,2397
BBAS3       ,8987999000,2370,2396,2345,2388
BBAS3       ,14314502700,2394,2430,2350,2365
BBAS3       ,15977855100,2318,2327,2282,2315
BBAS3       ,11201311600,2325,2341,2280,2301
BBAS3       ,16529520100,2300,2420,2291,2372
BBAS3       ,9720965700,2349,2389,2330,2367
BBAS3       ,9101749800,2370,2380,2335,2363
BBAS3       ,15730715400,2325,2328,2244,2244
BBAS3       ,8077888400,2261,2270,2213,2254
BBAS3       ,9892262000,2255,2257,2200,2200
BBAS3       ,12350650200,2195,2197,2108,2114
BBAS3       ,13440319100,2100,2175,2088,2127
BBAS3       ,10553876900,2141,2185,2125,2161
BBAS3       ,9388268200,2200,2215,2173,2190
BBAS3       ,16370727500,2131,2159,2090,2137
BBAS3       ,9665553900,2160,2170,2091,2137
BBAS3       ,12840637500,2137,2247,2132,2245
BBAS3       ,28992056200,2234,2423,2218,2404
BBAS3       ,12802726800,2392,2396,2293,2297
BBAS3       ,20215154700,2334,2397,2325,2394
BBAS3       ,10891112500,2367,2397,2343,2396
BBAS3       ,9322025000,2380,2395,2329,2353
BBAS3       ,14294600100,2362,2382,2295,2299
BBAS3       ,13261535600,2295,2302,2203,2209
BBAS3       ,17799092400,2222,2222,2161,2216
BBAS3       ,10312543400,2235,2299,2213,2282
BBAS3       ,22047551100,2250,2380,2245,2291
BBAS3       ,24461953100,2333,2389,2317,2377
BBAS3       ,21513852200,2395,2478,2355,2460
BBAS3       ,22352195900,2469,2548,2459,2548
BBAS3       ,16382242900,2545,2576,2468,2468
BBAS3       ,18356421300,2515,2528,2432,2435
BBAS3       ,20814391400,2390,2412,2332,2346
BBAS3       ,15076186000,2340,2440,2339,2430
BBAS3       ,12816158700,2439,2466,2413,2425
BBAS3       ,11593271300,2441,2459,2388,2407
BBAS3       ,18906469600,2420,2528,2411,2503
BBAS3       ,22698947100,2480,2584,2476,2579
BBAS3       ,28009845000,2539,2556,2425,2455
BBAS3       ,9845940100,2471,2475,2415,2443
BBAS3       ,15413935700,2450,2558,2443,2542
BBAS3       ,17735022800,2505,2645,2503,2629
BBAS3       ,23215210400,2650,2742,2644,2719
BBAS3       ,21188749300,2700,2728,2630,2640
BBAS3       ,12601988400,2659,2666,2578,2650
BBAS3       ,13257942200,2630,2635,2585,2600
BBAS3       ,18184864400,2585,2662,2561,2662
BBAS3       ,12026457800,2681,2696,2641,2644
BBAS3       ,12972525900,2638,2724,2618,2717
BBAS3       ,11993010400,2711,2724,2674,2711
BBAS3       ,13343940900,2683,2789,2676,2786
BBAS3       ,13903866500,2801,2840,2756,2800
BBAS3       ,11444392500,2804,2823,2736,2806
BBAS3       ,22490046800,2783,2815,2751,2751
BBAS3       ,19004305100,2737,2764,2685,2700
BBAS3       ,25777285600,2669,2670,2572,2596
BBAS3       ,10807446600,2606,2650,2591,2622
BBAS3       ,12006135100,2650,2650,2576,2604
BBAS3       ,15630551200,2615,2620,2487,2527
BBAS3       ,18594499000,2494,2563,2466,2503
BBAS3       ,10606839100,2481,2489,2428,2463
BBAS3       ,19714412600,2390,2398,2335,2335
BBAS3       ,9138378100,2331,2438,2311,2420
BBAS3       ,12235720300,2413,2424,2331,2355
BBAS3       ,14428644800,2371,2408,2325,2394
BBAS3       ,10643887700,2379,2379,2325,2340
BBAS3       ,14273301900,2350,2350,2271,2274
BBAS3       ,8472561500,2280,2303,2255,2288
BBAS3       ,18974349600,2300,2366,2296,2345
BBAS3       ,17215136100,2350,2358,2260,2260
BBAS3       ,13423060200,2270,2270,2211,2233
BBAS3       ,10046375000,2251,2276,2220,2223
BBAS3       ,18374768600,2233,2273,2230,2252
BBAS3       ,13796420600,2290,2345,2279,2321
BBAS3       ,10770000800,2348,2350,2263,2307
BBAS3       ,7182936000,2269,2298,2250,2250
BBAS3       ,8486317100,2248,2248,2205,2246
BBAS3       ,24885002100,2266,2334,2253,2321
BBAS3       ,12853911500,2320,2329,2246,2255
BBAS3       ,12073155400,2282,2341,2266,2328
BBAS3       ,11644730200,2300,2334,2272,2312
BBAS3       ,15639367500,2341,2372,2329,2356
BBAS3       ,11804835200,2370,2408,2342,2342
BBAS3       ,12553373000,2356,2395,2328,2388
BBAS3       ,12972901400,2390,2395,2330,2358
BBAS3       ,15075272000,2349,2450,2346,2450
BBAS3       ,11176496000,2403,2434,2363,2380
BBAS3       ,15283667800,2386,2430,2367,2428
BBAS3       ,10659631900,2438,2450,2380,2397
BBAS3       ,26523847500,2421,2426,2367,2390
BBAS3       ,4674606100,2385,2385,2351,2367
BBAS3       ,8823353200,2347,2415,2320,2385
BBAS3       ,13709532800,2370,2374,2317,2342
BBAS3       ,7498360300,2327,2360,2301,2316
BBAS3       ,10237113900,2346,2403,2345,2376
BBAS3       ,6229449100,2400,2414,2378,2390
BBAS3       ,4955613900,2395,2412,2356,2393
BBAS3       ,9081633500,2387,2416,2381,2393
BBAS3       ,18753676400,2321,2361,2292,2315
BBAS3       ,15511347300,2310,2332,2246,2260
BBAS3       ,13112190800,2257,2268,2203,2203
BBAS3       ,11542499100,2211,2229,2163,2200
BBAS3       ,18185983700,2189,2189,2085,2094
BBAS3       ,13612287700,2084,2118,2053,2061
BBAS3       ,13802158800,2061,2077,1970,2041
BBAS3       ,18461825900,2074,2133,2063,2103
BBAS3       ,15698526900,2152,2159,2030,2100
BBAS3       ,15488598000,2086,2193,2083,2193
BBAS3       ,9474647900,2193,2209,2133,2155
BBAS3       ,15218314800,2179,2209,2156,2205
BBAS3       ,10873080400,2195,2249,2183,2224
BBAS3       ,9580285500,2236,2236,2132,2145
BBAS3       ,7802414100,2160,2188,2140,2170
BBAS3       ,8854262800,2150,2160,2102,2110
BBAS3       ,9519552000,2105,2121,2045,2048
BBAS3       ,5419789900,2075,2123,2052,2102
BBAS3       ,7807086800,2100,2128,2055,2128
BBAS3       ,15535796100,2100,2108,2020,2034
BBAS3       ,19720750400,2006,2020,1933,1945
BBAS3       ,9946804800,1959,1978,1930,1930
BBAS3       ,13129737900,1931,1950,1898,1898
BBAS3       ,22497767700,1893,2018,1881,1962
BBAS3       ,19958409300,1886,1906,1841,1841
BBAS3       ,17088837200,1828,1871,1800,1860
BBAS3       ,11840662100,1846,1879,1807,1856
BBAS3       ,21773511500,1740,1849,1712,1793
BBAS3       ,16856715700,1859,1864,1768,1770
BBAS3       ,17398296600,1794,1858,1756,1857
BBAS3       ,20112244400,1891,1969,1873,1923
BBAS3       ,20053123900,1899,1948,1852,1878
BBAS3       ,24395400600,1817,1843,1760,1783
BBAS3       ,12059086800,1750,1778,1730,1737
BBAS3       ,12304451800,1752,1778,1723,1740
BBAS3       ,17237531000,1757,1783,1716,1783
BBAS3       ,12340579400,1741,1764,1704,1704
BBAS3       ,10366145500,1737,1747,1693,1710
BBAS3       ,11108159900,1740,1774,1710,1715
BBAS3       ,26041687000,1662,1685,1615,1685
BBAS3       ,12511036300,1682,1696,1640,1640
BBAS3       ,14664633300,1629,1715,1622,1708
BBAS3       ,15060978000,1702,1788,1670,1770
BBAS3       ,17476992700,1782,1840,1782,1823
BBAS3       ,17999853900,1799,1830,1780,1783
BBAS3       ,15913612800,1777,1777,1661,1683
BBAS3       ,10934821600,1692,1708,1629,1629
