CODNEG,1,2,3,4,PREULT
BBDC4       ,27035329600,3475,3549,3413,3430
BBDC4       ,26396669000,3371,3477,3331,3435
BBDC4       ,34731084600,3437,3548,3414,3548
BBDC4       ,39073472200,3594,3730,3562,3689
BBDC4       ,21551602300,3700,3741,3630,3708
BBDC4       ,22784049800,3672,3693,3528,3547
BBDC4       ,22026058500,3520,3563,3460,3484
BBDC4       ,28765591700,3510,3593,3495,3495
BBDC4       ,25851768400,3450,3585,3435,3532
BBDC4       ,35589776900,3539,3631,3496,3496
BBDC4       ,44057612600,3515,3541,3470,3530
BBDC4       ,21998271000,3510,3565,3430,3456
BBDC4       ,18312536700,3520,3525,3434,3445
BBDC4       ,29409717800,3497,3554,3430,3529
BBDC4       ,29414391200,3570,3635,3542,3568
BBDC4       ,21371562200,3545,3605,3478,3537
BBDC4       ,24201735600,3485,3597,3485,3594
BBDC4       ,32888254800,3542,3626,3500,3600
BBDC4       ,34161785300,3555,3645,3514,3514
BBDC4       ,33133452100,3560,3593,3422,3477
BBDC4       ,36075820100,3430,3439,3348,3373
BBDC4       ,30887203700,3415,3428,3314,3408
BBDC4       ,31474487200,3500,3539,3452,3532
BBDC4       ,37945229200,3532,3653,3494,3621
BBDC4       ,26739553400,3578,3620,3560,3563
BBDC4       ,25149455100,3555,3581,3490,3578
BBDC4       ,28840001900,3555,3615,3546,3615
BBDC4       ,21834426000,3590,3630,3524,3524
BBDC4       ,32015708000,3516,3558,3402,3429
BBDC4       ,24046924900,3490,3565,3464,3565
BBDC4       ,26392937500,3596,3666,3564,3660
BBDC4       ,28737567700,3727,3750,3676,3700
BBDC4       ,17281002400,3692,3736,3661,3692
BBDC4       ,11180174600,3698,3720,3652,3701
BBDC4       ,17626131800,3655,3748,3654,3737
BBDC4       ,25762043600,3750,3783,3703,3778
BBDC4       ,30048498700,3732,3799,3712,3799
BBDC4       ,18815966300,3800,3810,3755,3807
BBDC4       ,45353975300,3800,3896,3757,3760
BBDC4       ,34953449600,3751,3813,3678,3709
BBDC4       ,28954328900,3706,3722,3672,3715
BBDC4       ,33967612400,3658,3686,3628,3638
BBDC4       ,23636667500,3645,3674,3589,3632
BBDC4       ,27455494400,3622,3640,3553,3588
BBDC4       ,25703404200,3550,3562,3452,3485
BBDC4       ,37328181600,3434,3495,3369,3369
BBDC4       ,23192995900,3392,3475,3386,3470
BBDC4       ,34081104400,3520,3526,3405,3408
BBDC4       ,32058664500,3339,3388,3317,3366
BBDC4       ,25307738100,3400,3424,3360,3416
BBDC4       ,36450522500,3416,3551,3383,3550
BBDC4       ,31613963700,3549,3690,3482,3690
BBDC4       ,20612450300,3663,3669,3583,3628
BBDC4       ,37118368400,3658,3725,3646,3684
BBDC4       ,16434938200,3670,3725,3647,3675
BBDC4       ,17954060500,3680,3717,3597,3640
BBDC4       ,38596397600,3670,3697,3601,3642
BBDC4       ,31886185200,3611,3628,3519,3530
BBDC4       ,27656819400,2943,2943,2820,2860
BBDC4       ,27488987600,2875,2921,2845,2920
BBDC4       ,31753481200,2883,2978,2874,2967
BBDC4       ,27243944700,3006,3102,2988,3061
BBDC4       ,24024051600,3084,3132,3072,3096
BBDC4       ,17549668200,3120,3148,3096,3113
BBDC4       ,16934836900,3115,3140,3091,3124
