CODNEG,1,2,3,4,PREULT
ITSA4       ,9886796200,936,945,912,917
ITSA4       ,18549086800,903,934,898,920
ITSA4       ,29805097600,922,930,909,927
ITSA4       ,18436795900,945,976,943,962
ITSA4       ,14789504800,970,978,947,972
ITSA4       ,9084130200,965,968,932,938
ITSA4       ,14121964400,930,942,914,922
ITSA4       ,16056602800,922,949,922,925
ITSA4       ,10842892600,913,947,913,930
ITSA4       ,13245450100,936,964,928,928
ITSA4       ,12738703800,934,952,926,945
ITSA4       ,10436181200,941,950,902,902
ITSA4       ,18662773300,917,933,908,920
ITSA4       ,28247916400,926,964,924,957
ITSA4       ,26774456500,966,980,958,967
ITSA4       ,20857877100,967,969,945,960
ITSA4       ,16339564400,950,968,944,959
ITSA4       ,14020338800,950,969,940,959
ITSA4       ,12170588200,949,965,939,939
ITSA4       ,13384547300,943,955,926,933
ITSA4       ,23806046700,920,927,912,914
ITSA4       ,14624505400,922,937,914,923
ITSA4       ,22915471300,958,963,943,953
ITSA4       ,36543701300,956,1007,952,988
ITSA4       ,31152982700,985,1006,978,988
ITSA4       ,22674771300,985,1000,971,1000
ITSA4       ,18449923500,995,1002,990,993
ITSA4       ,23101670800,993,1001,980,980
ITSA4       ,21936184100,958,963,921,940
ITSA4       ,11405453800,949,965,946,952
ITSA4       ,18706331400,964,990,962,985
ITSA4       ,15402112600,1001,1016,991,1000
ITSA4       ,12971343400,996,1009,989,998
ITSA4       ,10347840800,1003,1005,986,1000
ITSA4       ,13888890100,990,1018,988,1007
ITSA4       ,17445455500,1013,1021,997,1016
ITSA4       ,14149765400,998,1020,998,1020
ITSA4       ,11524177100,1021,1026,1010,1026
ITSA4       ,22819872500,1026,1046,1004,1009
ITSA4       ,10632991000,1006,1016,994,999
ITSA4       ,10994170100,1004,1007,993,1001
ITSA4       ,14623959800,990,997,981,993
ITSA4       ,14160142500,995,1000,977,989
ITSA4       ,14722621300,985,996,957,968
ITSA4       ,14245734400,958,962,932,943
ITSA4       ,22663060600,931,945,916,920
ITSA4       ,21359098000,933,959,923,951
ITSA4       ,13065699700,969,970,947,955
ITSA4       ,12662297000,931,953,931,948
ITSA4       ,11809820700,959,961,942,951
ITSA4       ,17393235300,953,980,951,974
ITSA4       ,18970846400,969,1015,966,1012
ITSA4       ,11166760200,1011,1013,993,1013
ITSA4       ,20516158400,1020,1034,1009,1009
ITSA4       ,13239199200,1010,1018,999,1008
ITSA4       ,11298797400,1011,1019,995,1006
ITSA4       ,15957131400,1016,1034,1002,1013
ITSA4       ,18288407500,1001,1004,980,984
ITSA4       ,24131232700,979,985,959,965
ITSA4       ,16354408800,970,1001,966,995
ITSA4       ,12554011900,983,1011,979,998
ITSA4       ,21266346900,1017,1040,1010,1033
ITSA4       ,20518401900,1049,1063,1044,1051
ITSA4       ,16143853100,1068,1076,1052,1070
ITSA4       ,10183012800,1070,1082,1053,1068
ITSA4       ,16224915800,1080,1087,1058,1066
ITSA4       ,22038499000,1053,1055,1032,1046
ITSA4       ,18101376000,1041,1069,1031,1053
ITSA4       ,13241620500,1054,1067,1046,1052
ITSA4       ,7762489800,1062,1062,1038,1047
ITSA4       ,13350179800,1045,1068,1044,1063
ITSA4       ,15135577400,1056,1063,1043,1058
ITSA4       ,16325406300,1053,1057,1044,1046
ITSA4       ,6844858200,1051,1053,1031,1035
ITSA4       ,17654017600,1040,1053,1036,1043
ITSA4       ,18345568900,1038,1058,1034,1055
ITSA4       ,31968702700,1060,1092,1054,1090
ITSA4       ,18290604500,1085,1100,1070,1081
ITSA4       ,21239059000,1089,1092,1068,1080
ITSA4       ,12768786000,1069,1070,1055,1069
ITSA4       ,16950585000,1068,1077,1050,1061
ITSA4       ,10924529100,1077,1086,1068,1071
ITSA4       ,16304600500,961,981,952,962
ITSA4       ,15803292900,965,973,937,952
ITSA4       ,8167266700,950,958,937,958
ITSA4       ,12551430300,965,974,951,971
ITSA4       ,9428243100,970,978,963,974
ITSA4       ,8082592400,967,975,962,965
ITSA4       ,11407500700,965,969,945,947
ITSA4       ,8711208600,950,961,943,955
ITSA4       ,8805855700,955,969,947,965
ITSA4       ,13548332900,971,971,939,953
ITSA4       ,8398983500,948,952,930,938
ITSA4       ,16414028600,930,940,924,929
ITSA4       ,19961349100,921,927,910,927
ITSA4       ,26769754000,913,923,899,900
ITSA4       ,17037070100,901,919,897,910
ITSA4       ,15046898100,904,910,890,895
ITSA4       ,26717524200,900,920,890,917
ITSA4       ,15710373600,908,915,901,912
ITSA4       ,22522407200,913,913,882,882
ITSA4       ,12086166400,885,893,875,881
ITSA4       ,16202250200,885,911,885,908
ITSA4       ,15599127000,908,908,887,888
ITSA4       ,13548585000,884,889,860,860
ITSA4       ,14357984900,865,872,860,863
ITSA4       ,31741851400,865,881,860,865
ITSA4       ,23698679000,877,888,867,871
ITSA4       ,27871539300,879,879,855,858
ITSA4       ,11302549000,850,862,848,856
ITSA4       ,13158985200,851,866,843,865
ITSA4       ,20518595600,868,897,860,894
ITSA4       ,14992460600,890,897,876,880
ITSA4       ,18127523800,884,917,876,907
ITSA4       ,14858889600,896,906,885,892
