CODNEG,1,2,3,4,PREULT
ITUB4       ,38479952800,3425,3481,3352,3383
ITUB4       ,42778764200,3330,3435,3304,3400
ITUB4       ,51315254100,3400,3455,3363,3455
ITUB4       ,45707061000,3500,3634,3500,3580
ITUB4       ,41483111800,3600,3650,3522,3636
ITUB4       ,32357131100,3605,3615,3467,3477
ITUB4       ,37178147300,3460,3493,3388,3393
ITUB4       ,47494528400,3421,3479,3389,3389
ITUB4       ,41776663300,3360,3463,3350,3412
ITUB4       ,44617862600,3420,3516,3381,3382
ITUB4       ,47208955900,3391,3452,3360,3434
ITUB4       ,28002598000,3411,3453,3295,3310
ITUB4       ,30326365900,3365,3377,3296,3321
ITUB4       ,48952536800,3370,3443,3317,3419
ITUB4       ,42416182000,3459,3500,3417,3436
ITUB4       ,38038794100,3434,3470,3371,3403
ITUB4       ,33339618200,3387,3450,3361,3443
ITUB4       ,42681833700,3430,3457,3356,3430
ITUB4       ,38393388300,3390,3462,3359,3360
ITUB4       ,40043377500,3390,3404,3281,3337
ITUB4       ,58595776700,3272,3308,3247,3290
ITUB4       ,38338258600,3322,3338,3265,3332
ITUB4       ,61875531200,3449,3467,3408,3425
ITUB4       ,84184677600,3422,3572,3400,3551
ITUB4       ,66525426100,3535,3578,3500,3521
ITUB4       ,59303952300,3500,3531,3460,3513
ITUB4       ,43510565800,3481,3546,3481,3535
ITUB4       ,40647903500,3540,3565,3490,3490
ITUB4       ,40740107000,3433,3450,3311,3348
ITUB4       ,39504821800,3384,3453,3370,3436
ITUB4       ,43348606000,3458,3552,3445,3550
ITUB4       ,41394740900,3621,3635,3551,3571
ITUB4       ,27818681200,3557,3607,3535,3570
ITUB4       ,21662369400,3600,3602,3527,3589
ITUB4       ,33957475600,3534,3649,3534,3624
ITUB4       ,35261806200,3648,3662,3580,3662
ITUB4       ,30394310700,3615,3671,3595,3671
ITUB4       ,27529638300,3675,3689,3618,3689
ITUB4       ,67079461700,3690,3757,3627,3650
ITUB4       ,42117515600,3640,3673,3601,3632
ITUB4       ,29263612700,3629,3660,3599,3660
ITUB4       ,57933895700,3613,3644,3593,3628
ITUB4       ,37966670200,3622,3650,3562,3596
ITUB4       ,62099070200,3572,3616,3466,3500
ITUB4       ,67063930200,3420,3472,3346,3409
ITUB4       ,98467792800,3355,3405,3275,3275
ITUB4       ,84199152600,3303,3391,3300,3386
ITUB4       ,53170670500,3420,3439,3379,3400
ITUB4       ,62612207200,3322,3390,3313,3383
ITUB4       ,36647822100,3405,3427,3342,3383
ITUB4       ,60682955600,3399,3480,3376,3480
