CODNEG,1,2,3,4,PREULT
JBSS3       ,4723457500,1109,1130,1049,1058
JBSS3       ,5903325300,1030,1067,1020,1064
JBSS3       ,10858719600,1015,1063,1006,1041
JBSS3       ,6517170400,1051,1090,1049,1064
JBSS3       ,5029845500,1079,1085,1055,1070
JBSS3       ,4613891100,1058,1062,1037,1043
JBSS3       ,4945841600,1035,1069,1035,1050
JBSS3       ,8221267000,1048,1054,999,1015
JBSS3       ,9825020300,1006,1055,1006,1013
JBSS3       ,6757962000,1030,1073,1030,1053
JBSS3       ,6408067000,1058,1122,1058,1115
JBSS3       ,3944725500,1103,1134,1061,1081
JBSS3       ,3986859300,1093,1096,1039,1055
JBSS3       ,6525086300,1063,1109,1056,1085
JBSS3       ,6063098900,1101,1125,1093,1107
JBSS3       ,4233880300,1089,1109,1082,1096
JBSS3       ,3747568100,1089,1118,1067,1110
JBSS3       ,9724071700,1099,1176,1085,1159
JBSS3       ,5897879700,1137,1148,1109,1119
JBSS3       ,7533650500,1120,1169,1115,1169
JBSS3       ,7081772000,1160,1180,1124,1144
JBSS3       ,4647205200,1139,1165,1121,1144
JBSS3       ,5655860000,1156,1176,1145,1145
JBSS3       ,5708001800,1150,1170,1115,1121
JBSS3       ,5232974600,1120,1141,1110,1112
JBSS3       ,5824865400,1102,1134,1092,1130
JBSS3       ,3089779300,1129,1143,1115,1128
JBSS3       ,3790522800,1116,1140,1113,1117
JBSS3       ,5397128200,1122,1133,1102,1110
JBSS3       ,7466288900,1127,1165,1127,1144
JBSS3       ,3191156700,1160,1174,1140,1162
JBSS3       ,6598961300,1158,1217,1158,1188
JBSS3       ,4729511000,1177,1225,1166,1211
JBSS3       ,3146112300,1212,1220,1175,1198
JBSS3       ,5452111300,1182,1220,1182,1220
JBSS3       ,4203061700,1215,1230,1188,1207
JBSS3       ,4148605100,1202,1231,1195,1217
JBSS3       ,3798411600,1218,1230,1206,1220
JBSS3       ,7772502400,1218,1275,1212,1252
JBSS3       ,7469796200,1232,1274,1218,1267
JBSS3       ,5449381100,1270,1280,1245,1245
JBSS3       ,9199272200,1235,1267,1228,1242
JBSS3       ,5818316300,1255,1278,1245,1275
JBSS3       ,8323991500,1274,1330,1270,1313
JBSS3       ,10952758500,1327,1344,1312,1318
JBSS3       ,8474236700,1301,1373,1301,1354
JBSS3       ,10133887800,1360,1360,1277,1308
JBSS3       ,16346380200,1314,1316,1255,1287
JBSS3       ,11405176400,1250,1297,1244,1290
JBSS3       ,5950483800,1303,1307,1276,1281
JBSS3       ,8100462900,1285,1320,1284,1302
JBSS3       ,9393327500,1300,1340,1292,1330
JBSS3       ,15363019700,1336,1398,1334,1385
JBSS3       ,13258690000,1410,1436,1402,1410
JBSS3       ,8563178000,1427,1429,1409,1418
JBSS3       ,11326578300,1412,1433,1367,1392
JBSS3       ,11519448700,1393,1425,1393,1411
JBSS3       ,10307560500,1400,1418,1388,1397
JBSS3       ,7954724400,1391,1415,1378,1397
JBSS3       ,8459056000,1402,1425,1400,1416
JBSS3       ,14297784000,1405,1434,1397,1420
JBSS3       ,11960814200,1422,1484,1410,1483
JBSS3       ,9389134100,1497,1571,1493,1530
JBSS3       ,8696170500,1541,1569,1532,1547
JBSS3       ,5773552200,1555,1590,1539,1587
JBSS3       ,9258654200,1622,1648,1597,1618
JBSS3       ,6807884000,1626,1634,1604,1620
JBSS3       ,7706013100,1610,1665,1610,1641
JBSS3       ,8120184200,1632,1645,1592,1600
JBSS3       ,11168886300,1570,1570,1515,1516
JBSS3       ,8314026500,1520,1560,1517,1530
JBSS3       ,12031351400,1518,1560,1518,1557
JBSS3       ,8779283200,1541,1557,1491,1550
JBSS3       ,5741425400,1539,1555,1530,1553
JBSS3       ,12519917600,1556,1578,1550,1557
JBSS3       ,8392413300,1539,1570,1539,1567
JBSS3       ,5296775000,1576,1576,1542,1544
JBSS3       ,5781577300,1550,1555,1482,1490
JBSS3       ,9157107700,1490,1516,1465,1510
JBSS3       ,5331012000,1490,1527,1486,1500
JBSS3       ,9475484300,1506,1557,1505,1554
JBSS3       ,6820740500,1564,1591,1550,1565
JBSS3       ,5649118900,1551,1579,1544,1571
JBSS3       ,8285837500,1569,1580,1546,1550
JBSS3       ,8445182500,1540,1586,1540,1563
JBSS3       ,6215991500,1588,1657,1575,1652
JBSS3       ,9252684300,1649,1667,1607,1654
JBSS3       ,7283678200,1645,1684,1639,1650
JBSS3       ,5863394800,1657,1674,1647,1660
JBSS3       ,13849773600,1701,1723,1660,1660
JBSS3       ,10873175200,1667,1677,1636,1649
JBSS3       ,8114911800,1657,1663,1603,1619
JBSS3       ,14857436600,1621,1688,1621,1688
JBSS3       ,11239357100,1706,1723,1681,1690
JBSS3       ,7472247800,1689,1689,1645,1678
JBSS3       ,6868156500,1685,1686,1622,1645
JBSS3       ,4193400400,1648,1674,1633,1665
JBSS3       ,6590442500,1668,1668,1609,1628
JBSS3       ,13781926100,1560,1660,1550,1660
JBSS3       ,8017252100,1639,1661,1633,1661
JBSS3       ,17296693300,1644,1654,1526,1560
JBSS3       ,8274000200,1555,1643,1555,1625
JBSS3       ,10047393200,1635,1649,1600,1615
JBSS3       ,12221920000,1607,1621,1565,1570
JBSS3       ,11690826000,1539,1600,1530,1586
JBSS3       ,12327003500,1590,1611,1576,1588
JBSS3       ,10786667900,1581,1594,1577,1585
JBSS3       ,20688701700,1610,1622,1600,1617
JBSS3       ,14080982100,1628,1634,1597,1597
JBSS3       ,5571160800,1591,1596,1570,1590
JBSS3       ,7536220300,1585,1598,1570,1588
JBSS3       ,17003563100,1594,1665,1589,1657
JBSS3       ,9135892000,1660,1670,1616,1655
JBSS3       ,7600690400,1657,1694,1625,1684
JBSS3       ,5980351600,1675,1677,1644,1646
JBSS3       ,7502144200,1636,1679,1636,1665
JBSS3       ,11501819400,1680,1682,1592,1604
JBSS3       ,9707460400,1605,1612,1580,1596
JBSS3       ,16383699600,1600,1608,1535,1535
JBSS3       ,16340657500,1545,1610,1544,1610
JBSS3       ,9328214500,1602,1602,1570,1593
JBSS3       ,11719984500,1628,1637,1603,1636
JBSS3       ,7288972100,1640,1640,1589,1590
JBSS3       ,9792098800,1606,1620,1591,1620
JBSS3       ,3497611700,1606,1606,1572,1602
JBSS3       ,13328262300,1580,1624,1572,1599
JBSS3       ,18289055400,1593,1615,1586,1596
JBSS3       ,8922383300,1581,1604,1581,1589
JBSS3       ,10540594400,1610,1610,1587,1590
JBSS3       ,12167038900,1598,1610,1591,1598
JBSS3       ,9071629700,1598,1600,1567,1580
JBSS3       ,11760755300,1579,1579,1539,1539
