CODNEG,1,2,3,4,PREULT
LREN3       ,4994096600,7560,7608,7392,7590
LREN3       ,4156502900,7543,7543,7319,7379
LREN3       ,6937286500,7328,7537,7328,7464
LREN3       ,5709644700,7488,7660,7488,7591
LREN3       ,3534935500,7571,7650,7511,7600
LREN3       ,5907314900,7522,7579,7270,7330
LREN3       ,3175628800,7240,7467,7240,7430
LREN3       ,4872056200,7407,7494,7349,7405
LREN3       ,5543362000,7365,7460,7322,7340
LREN3       ,7792435800,7415,7510,7332,7422
LREN3       ,4517158300,7422,7500,7360,7420
LREN3       ,3667633000,7383,7465,7306,7320
LREN3       ,4538466500,7385,7385,7234,7300
LREN3       ,4951306200,7384,7406,7270,7325
LREN3       ,6505999600,7369,7420,7235,7250
LREN3       ,6276220300,7235,7325,7192,7244
LREN3       ,7390664400,7208,7287,7060,7265
LREN3       ,6386234800,7193,7220,7025,7164
LREN3       ,3618625400,7160,7236,7079,7200
LREN3       ,9398343200,7170,7400,7150,7200
LREN3       ,17381193300,7150,7236,6991,7050
LREN3       ,5764591900,7102,7213,7076,7174
LREN3       ,6347676800,7224,7250,7115,7207
LREN3       ,6078527500,7240,7240,6997,7190
LREN3       ,10590648600,7155,7370,7150,7300
LREN3       ,5985589000,7245,7299,7130,7200
LREN3       ,7205449200,7092,7410,7092,7410
LREN3       ,4136757500,7355,7380,7137,7137
LREN3       ,6262472500,7116,7163,7005,7057
LREN3       ,5188488400,7130,7285,7075,7200
LREN3       ,17875434300,7600,7895,7545,7749
LREN3       ,10625944600,7699,7973,7670,7831
LREN3       ,10305774100,7799,8226,7791,8100
LREN3       ,6725244000,8068,8143,8033,8075
LREN3       ,6058283100,8049,8200,8030,8070
LREN3       ,6609814900,8117,8279,8070,8244
LREN3       ,10684098300,8152,8385,8152,8350
LREN3       ,9026203000,8387,8475,8351,8372
LREN3       ,9130283800,8355,8460,8285,8409
LREN3       ,9076711300,8381,8560,8367,8539
LREN3       ,7413253000,8501,8545,8401,8510
LREN3       ,6562955500,8402,8509,8280,8336
LREN3       ,6807399100,8359,8360,8158,8250
LREN3       ,3868909300,8284,8337,8238,8275
LREN3       ,7188779000,8299,8316,8165,8180
LREN3       ,9996173500,8054,8256,8054,8062
LREN3       ,11619194800,8044,8290,8044,8220
LREN3       ,6457637600,8424,8424,8267,8351
LREN3       ,4730790000,8174,8330,8147,8240
LREN3       ,5029155500,8319,8355,8110,8265
LREN3       ,8137016000,8266,8427,8117,8420
LREN3       ,5253043500,8390,8579,8282,8560
LREN3       ,7125995200,8528,8580,8403,8479
LREN3       ,6752601400,8544,8740,8544,8650
LREN3       ,2867828900,8650,8677,8528,8586
LREN3       ,9266073200,8586,8794,8564,8590
LREN3       ,8108757100,8660,8786,8652,8720
LREN3       ,4440663800,8630,8683,8503,8625
LREN3       ,6572253200,8568,8738,8526,8738
LREN3       ,5263916400,8780,8923,8747,8915
LREN3       ,12000887000,8898,9114,8871,9078
LREN3       ,7016457700,9141,9354,9141,9261
LREN3       ,5946950600,9262,9460,9262,9305
LREN3       ,4631430000,9409,9469,9321,9372
LREN3       ,4966265500,9340,9440,9339,9350
LREN3       ,4585734400,9458,9458,9337,9357
LREN3       ,4694809300,9348,9498,9341,9375
LREN3       ,2602288500,9356,9472,9291,9350
LREN3       ,2833845200,9351,9440,9295,9348
LREN3       ,5005287700,9400,9473,9297,9355
LREN3       ,5902918200,9449,9571,9355,9500
LREN3       ,4161054800,9502,9574,9280,9360
LREN3       ,5646557900,9190,9349,9099,9123
LREN3       ,3718750700,9105,9200,9025,9200
LREN3       ,5567829400,9215,9308,9150,9225
LREN3       ,3970865700,9225,9441,9202,9441
LREN3       ,5185863700,9488,9569,9420,9511
LREN3       ,5894389100,9550,9681,9407,9493
LREN3       ,7628735400,9540,9540,9433,9485
LREN3       ,15266948600,9420,9659,9387,9568
LREN3       ,28646632400,10500,10535,10255,10505
LREN3       ,17394319100,10565,10919,10415,10522
LREN3       ,6886963900,10540,10584,10336,10336
LREN3       ,8347148100,10302,10526,10300,10450
LREN3       ,7917399600,10502,10972,10485,10972
LREN3       ,15191154200,11179,11649,11025,11400
LREN3       ,6255054000,11400,11400,11090,11189
LREN3       ,5451780100,11102,11445,11093,11369
LREN3       ,4668776500,11365,11494,11312,11425
LREN3       ,10552426900,11452,11510,11058,11165
LREN3       ,5763204200,11100,11441,11077,11433
LREN3       ,5598138900,11351,11500,11166,11317
LREN3       ,6690222100,11230,11310,10994,10994
LREN3       ,7404032200,10920,11081,10750,11000
LREN3       ,4442226300,10994,11024,10875,10968
LREN3       ,4829799700,10925,11150,10715,10900
LREN3       ,2546190900,10931,11144,10802,10951
LREN3       ,5193236300,10910,10984,10664,10730
LREN3       ,7044045700,10750,10790,10611,10690
LREN3       ,8419489700,10648,10756,10600,10716
LREN3       ,8199575100,10684,10885,10580,10705
LREN3       ,6431457000,10705,10830,10529,10561
LREN3       ,6271601800,10650,10966,10490,10966
LREN3       ,17057724300,10949,10950,10743,10784
LREN3       ,4758036200,10612,10818,10611,10710
LREN3       ,5303464800,10700,10999,10680,10940
LREN3       ,11152992100,10898,10998,10851,10856
LREN3       ,7118145100,10900,11094,10861,10980
LREN3       ,4708874500,11034,11079,10879,10980
LREN3       ,6142454500,10980,11080,10893,11000
LREN3       ,3370967900,10951,11235,10905,11196
LREN3       ,11314361200,11227,11227,11021,11050
LREN3       ,6339907700,11020,11187,10960,11062
LREN3       ,3985739700,11062,11272,11062,11260
