CODNEG,1,2,3,4,PREULT
PETR3       ,11651812100,958,967,900,900
PETR3       ,21003327500,864,896,825,827
PETR3       ,23895817700,828,853,778,806
PETR3       ,28253773000,830,851,808,845
PETR3       ,33417342700,860,926,852,902
PETR3       ,18548723200,909,929,878,929
PETR3       ,20379884600,924,946,866,877
PETR3       ,19709899200,873,921,873,883
PETR3       ,15015193700,875,877,843,850
PETR3       ,24742137800,879,928,864,925
PETR3       ,19531052800,927,953,914,923
PETR3       ,7437861700,923,927,883,888
PETR3       ,15895807200,925,955,877,889
PETR3       ,11568112800,910,948,894,946
PETR3       ,25385966800,966,1016,960,981
PETR3       ,11333873600,975,995,946,952
PETR3       ,12516820500,941,955,921,954
PETR3       ,16637367200,947,988,914,964
PETR3       ,26756468700,903,912,846,863
PETR3       ,44503741400,871,880,800,847
PETR3       ,28337000500,803,817,788,804
PETR3       ,11291926400,828,857,801,857
PETR3       ,19046108700,889,979,888,979
PETR3       ,34830625100,1000,1060,949,990
PETR3       ,18706900200,976,1014,961,966
PETR3       ,29931395700,969,970,882,903
PETR3       ,17030787600,887,941,866,920
PETR3       ,14995758500,907,972,883,883
PETR3       ,9951066400,895,908,865,885
PETR3       ,17502145800,917,938,913,937
PETR3       ,20283430700,945,996,945,978
PETR3       ,15091096200,988,1021,980,995
PETR3       ,11049539600,989,989,952,964
PETR3       ,8803980300,968,975,943,954
PETR3       ,10601266100,949,949,926,938
PETR3       ,14517441100,948,979,948,974
PETR3       ,29585415000,904,932,893,930
PETR3       ,11471839400,932,944,908,920
PETR3       ,16173171200,925,960,906,948
PETR3       ,10300423800,936,965,915,928
PETR3       ,11140935100,945,965,938,951
PETR3       ,11501540400,930,940,915,915
PETR3       ,7984128300,925,930,910,921
PETR3       ,9188971500,915,926,909,909
PETR3       ,13860436100,905,910,877,879
PETR3       ,19016104700,866,882,829,832
PETR3       ,13844289300,842,856,834,847
PETR3       ,12519357700,869,879,821,828
PETR3       ,24946543500,809,826,793,815
PETR3       ,13942705600,830,833,798,825
PETR3       ,20461016400,820,876,815,871
PETR3       ,16889639500,870,911,849,909
PETR3       ,9989224900,905,907,866,869
PETR3       ,23587502200,889,916,873,916
PETR3       ,8985566200,917,932,905,922
PETR3       ,8959091500,917,933,907,924
PETR3       ,29840784400,930,978,930,972
PETR3       ,20207898400,981,985,920,923
PETR3       ,13076361300,920,947,905,922
PETR3       ,10603485200,938,962,930,959
PETR3       ,9049199700,955,978,931,958
PETR3       ,18962414100,980,1026,970,1008
PETR3       ,16213864300,1006,1064,1002,1060
PETR3       ,12066792800,1072,1094,1057,1058
PETR3       ,16517048500,1060,1090,1041,1083
PETR3       ,25799783900,1105,1125,1043,1056
PETR3       ,26321400700,1063,1156,1057,1154
PETR3       ,22004481600,1141,1195,1126,1183
PETR3       ,37421656500,1200,1283,1200,1242
PETR3       ,31167169900,1284,1290,1223,1245
PETR3       ,36751900300,1269,1345,1257,1343
PETR3       ,55364195900,1331,1342,1262,1318
PETR3       ,29309924600,1287,1350,1273,1327
PETR3       ,17209903900,1341,1364,1318,1324
PETR3       ,25544961600,1324,1351,1289,1331
PETR3       ,111866488000,1282,1421,1246,1406
PETR3       ,70806622100,1438,1503,1417,1470
PETR3       ,28230100600,1430,1457,1363,1363
PETR3       ,30620365100,1380,1386,1283,1363
PETR3       ,19655708800,1344,1388,1334,1373
PETR3       ,27271642800,1365,1432,1365,1425
PETR3       ,32676316900,1450,1511,1446,1504
PETR3       ,46568522400,1490,1592,1486,1566
PETR3       ,48250016300,1597,1626,1471,1481
PETR3       ,23866777400,1495,1525,1436,1465
PETR3       ,15734455800,1500,1507,1425,1450
PETR3       ,20688255700,1454,1479,1434,1467
PETR3       ,14805301000,1466,1510,1465,1470
PETR3       ,20669419000,1476,1527,1470,1492
PETR3       ,23339833500,1500,1525,1467,1481
PETR3       ,25413896200,1490,1520,1458,1505
PETR3       ,29018431500,1572,1574,1439,1464
PETR3       ,30129645200,1460,1464,1363,1375
PETR3       ,18103762200,1364,1404,1349,1370
PETR3       ,22851713800,1368,1456,1368,1442
PETR3       ,19836488600,1450,1465,1387,1410
PETR3       ,8950558000,1397,1398,1365,1383
PETR3       ,18446076600,1385,1399,1335,1336
PETR3       ,17853010000,1345,1367,1325,1352
PETR3       ,13229606300,1338,1375,1330,1361
PETR3       ,25193278000,1367,1373,1325,1325
PETR3       ,12044818500,1332,1353,1313,1325
PETR3       ,22474016800,1337,1393,1337,1385
PETR3       ,22581596800,1395,1420,1372,1383
PETR3       ,15645647600,1353,1383,1335,1352
PETR3       ,11108713600,1354,1376,1343,1355
PETR3       ,29002193900,1362,1426,1362,1405
PETR3       ,18134959200,1427,1450,1406,1415
PETR3       ,20034916500,1424,1426,1399,1415
PETR3       ,13369689500,1384,1424,1384,1418
PETR3       ,12914405700,1411,1432,1406,1420
PETR3       ,29261822600,1427,1478,1411,1468
PETR3       ,20720113000,1476,1492,1446,1449
PETR3       ,13890687400,1457,1481,1450,1480
PETR3       ,25900795500,1462,1490,1446,1451
PETR3       ,13456721600,1470,1476,1444,1455
PETR3       ,36176210200,1470,1491,1435,1435
PETR3       ,24592778800,1450,1485,1450,1462
PETR3       ,24156540800,1466,1475,1395,1398
PETR3       ,16743690800,1417,1469,1406,1465
PETR3       ,29285233400,1437,1505,1395,1405
PETR3       ,18282116800,1425,1436,1392,1403
PETR3       ,24456177500,1419,1422,1339,1352
PETR3       ,17243040900,1375,1397,1353,1364
PETR3       ,10068738800,1364,1372,1289,1295
PETR3       ,24106396800,1286,1311,1259,1285
PETR3       ,30471805300,1283,1326,1208,1316
PETR3       ,16460872700,1304,1342,1275,1298
PETR3       ,11366942600,1341,1349,1321,1327
PETR3       ,9788243300,1335,1338,1301,1327
PETR3       ,11355522300,1318,1362,1305,1351
PETR3       ,17878345700,1346,1358,1312,1318
PETR3       ,8592617600,1331,1341,1319,1327
PETR3       ,18334194700,1320,1328,1261,1262
PETR3       ,17059303900,1267,1277,1183,1186
PETR3       ,18488780200,1197,1241,1168,1185
PETR3       ,15310454000,1172,1184,1135,1138
PETR3       ,21306928500,1130,1172,1116,1129
PETR3       ,17494870600,1138,1142,1083,1109
PETR3       ,19682332100,1097,1105,1042,1042
PETR3       ,24151559700,1062,1132,1057,1098
PETR3       ,21601217900,1101,1186,1094,1180
PETR3       ,14748957500,1190,1206,1128,1152
PETR3       ,18189744900,1158,1185,1139,1158
PETR3       ,24553827100,1151,1155,1085,1098
PETR3       ,14304653000,1103,1151,1103,1111
PETR3       ,14355413500,1140,1164,1097,1099
PETR3       ,30029926900,1090,1150,1069,1146
PETR3       ,24190161400,1130,1170,1060,1061
PETR3       ,16895493300,1075,1112,1046,1101
PETR3       ,14873931400,1093,1097,1049,1097
PETR3       ,20236915300,1095,1122,1081,1103
PETR3       ,10154902000,1102,1112,1058,1058
PETR3       ,9100643600,1064,1080,1035,1035
PETR3       ,13381989700,1031,1046,1020,1020
PETR3       ,15406917700,1022,1030,983,1002
PETR3       ,17014961800,1002,1013,960,977
PETR3       ,15230799000,964,1000,953,969
PETR3       ,16927613700,954,959,919,920
PETR3       ,30976770300,850,918,835,870
PETR3       ,22099156900,914,933,885,888
PETR3       ,23131315600,915,922,887,913
PETR3       ,27127568900,939,1020,933,1016
PETR3       ,38087244200,991,1084,991,1028
PETR3       ,35558967000,1000,1079,983,1062
PETR3       ,21862131800,1018,1052,989,995
PETR3       ,35104732200,1018,1029,964,1020
PETR3       ,30999503100,1033,1083,1004,1024
PETR3       ,16497381200,1010,1033,990,990
PETR3       ,16941332700,1017,1027,994,1005
PETR3       ,27659066900,1020,1039,968,968
PETR3       ,23156839000,915,957,915,931
PETR3       ,14987424200,920,930,881,881
PETR3       ,14494847700,884,900,857,883
PETR3       ,11145384600,890,903,864,873
PETR3       ,17719469700,888,957,884,948
PETR3       ,18023526800,939,960,922,928
PETR3       ,17270737300,920,925,880,891
PETR3       ,7470047800,897,905,862,862
PETR3       ,9086617200,851,852,816,835
PETR3       ,16869626700,840,859,806,826
PETR3       ,15208935700,806,860,800,830
PETR3       ,13699940400,840,861,798,808
PETR3       ,9132579100,801,805,766,767
PETR3       ,15144547900,771,817,771,785
PETR3       ,27344103900,860,862,820,854
PETR3       ,13263780000,870,886,829,837
PETR3       ,19268680200,834,938,827,915
PETR3       ,15713401900,936,977,927,940
PETR3       ,15559066500,958,1013,950,989
PETR3       ,31621754000,1045,1100,1018,1040
PETR3       ,19679449500,1044,1095,1014,1075
PETR3       ,29466192100,1108,1118,1058,1071
PETR3       ,17885508700,1023,1033,978,984
PETR3       ,28347831900,976,1000,950,956
PETR3       ,13305142300,968,971,923,966
PETR3       ,10813242800,965,987,943,970
PETR3       ,11464261700,969,971,943,967
PETR3       ,12220991700,980,1000,963,980
PETR3       ,9284750000,970,979,940,949
PETR3       ,10509207300,955,991,954,978
PETR3       ,11993707600,1005,1005,964,969
PETR3       ,6966458300,975,988,951,961
PETR3       ,8687890800,960,963,922,924
PETR3       ,15077951000,921,972,920,940
PETR3       ,13140988000,928,980,928,930
PETR3       ,8734859200,925,953,918,938
PETR3       ,19453955000,958,1056,951,1056
PETR3       ,14082538500,1057,1080,987,989
PETR3       ,9096387200,990,1010,966,990
PETR3       ,10320349600,984,994,941,958
PETR3       ,13512798400,953,974,926,927
PETR3       ,11204025600,923,934,909,921
PETR3       ,15638150500,931,952,916,926
PETR3       ,10913450500,917,931,902,902
PETR3       ,27831356100,890,910,867,878
PETR3       ,15471328500,884,940,884,938
PETR3       ,13001330500,950,964,930,942
PETR3       ,11824870500,945,980,943,952
PETR3       ,17007102000,973,973,923,951
PETR3       ,13964044100,965,987,950,985
PETR3       ,16756532000,981,1058,980,1045
PETR3       ,18385568100,1017,1028,966,966
PETR3       ,6736701300,969,988,959,970
PETR3       ,12025613200,960,969,933,933
PETR3       ,29559777200,925,971,912,941
PETR3       ,12931533000,935,956,921,924
PETR3       ,17201997000,927,947,910,947
PETR3       ,25392252400,994,1030,962,980
PETR3       ,20510879100,975,1000,905,913
PETR3       ,13597081500,921,927,862,864
PETR3       ,10662664200,865,874,836,854
PETR3       ,21770092800,890,965,878,946
PETR3       ,21372332900,930,946,907,920
PETR3       ,18258972100,902,939,884,885
PETR3       ,10858880000,879,893,861,877
PETR3       ,7490458400,889,914,888,910
PETR3       ,8803908400,899,909,874,895
PETR3       ,10366115700,920,936,882,882
PETR3       ,14245670300,851,884,851,866
PETR3       ,8490070700,867,875,818,831
PETR3       ,6353507000,841,860,819,854
PETR3       ,9811035000,874,898,870,888
PETR3       ,4710010300,887,887,857,861
PETR3       ,4499804800,871,889,851,857
PETR3       ,7380348600,857,863,837,857
PETR3       ,14709570000,831,896,831,867
PETR3       ,7772142200,873,889,835,845
PETR3       ,8068728600,822,825,806,806
PETR3       ,8455388300,772,807,765,783
PETR3       ,8440612000,800,804,768,786
PETR3       ,6481178000,789,789,752,758
PETR3       ,11185382500,762,764,683,700
PETR3       ,10011662900,718,728,680,680
PETR3       ,10296421500,680,728,660,723
PETR3       ,11204522600,694,704,661,671
PETR3       ,3709897700,676,677,630,630
PETR3       ,8435023400,668,668,615,615
PETR3       ,7426636900,593,599,567,593
PETR3       ,12302301600,594,647,591,629
PETR3       ,17271003100,660,676,621,621
PETR3       ,7831944500,610,624,586,596
PETR3       ,13803804700,598,679,590,654
PETR3       ,17108052100,670,736,623,652
PETR3       ,19899103200,661,697,641,693
PETR3       ,11916752700,681,704,655,658
PETR3       ,8478884400,638,655,602,602
PETR3       ,9826749600,610,632,593,618
PETR3       ,18381114600,630,700,606,667
PETR3       ,9294583600,661,682,639,639
PETR3       ,7228653400,604,621,602,612
PETR3       ,7586724200,589,605,578,591
PETR3       ,8905376100,617,642,606,631
PETR3       ,2482774900,652,660,643,643
PETR3       ,8787932200,644,666,629,629
PETR3       ,16722472900,641,697,641,678
PETR3       ,9922580600,680,707,658,660
PETR3       ,6412174100,653,655,631,638
PETR3       ,15801230500,671,742,665,741
PETR3       ,14801187800,726,775,703,708
PETR3       ,9833517800,683,715,674,703
PETR3       ,9401310700,696,730,685,698
PETR3       ,7709688200,724,735,687,689
PETR3       ,13085698000,715,748,710,735
PETR3       ,16415869300,759,767,721,757
PETR3       ,15250453400,747,814,738,810
PETR3       ,45344853400,830,936,823,911
PETR3       ,52687895000,1050,1051,950,998
PETR3       ,22769492400,1020,1040,967,991
PETR3       ,35101454800,990,1052,937,965
PETR3       ,27907839100,996,1009,940,956
PETR3       ,30147345100,983,994,923,981
PETR3       ,14224869300,980,1025,957,1009
PETR3       ,15845918000,1016,1019,952,954
PETR3       ,24020870700,899,917,871,891
PETR3       ,20523582600,891,969,877,960
PETR3       ,38149093900,1052,1066,1002,1044
PETR3       ,28016240300,1055,1059,984,1030
PETR3       ,10647965700,1019,1049,1003,1025
PETR3       ,22123440300,1000,1059,985,1048
PETR3       ,14109215500,1020,1033,986,992
PETR3       ,14297293500,966,1018,936,999
PETR3       ,13539815800,1045,1073,999,1063
PETR3       ,15767378200,1050,1094,1023,1063
PETR3       ,22771077400,1090,1129,1063,1070
PETR3       ,16682512000,1063,1090,1048,1063
PETR3       ,14632320900,1031,1061,1012,1053
PETR3       ,15583523000,1016,1045,952,960
PETR3       ,14637865300,952,1007,939,982
PETR3       ,14046740100,976,1016,971,973
PETR3       ,7646108400,999,1006,973,994
PETR3       ,18083784500,1040,1067,1038,1049
PETR3       ,22021347300,1060,1075,1036,1042
PETR3       ,17844343400,1062,1152,1055,1135
PETR3       ,25550155400,1171,1207,1139,1183
PETR3       ,18630368100,1194,1211,1131,1147
PETR3       ,19273347300,1159,1225,1129,1192
PETR3       ,18010429500,1188,1230,1109,1177
PETR3       ,17146850000,1192,1248,1180,1236
PETR3       ,28181557900,1210,1261,1203,1234
PETR3       ,22155832100,1214,1321,1214,1290
PETR3       ,10923419100,1280,1310,1223,1236
PETR3       ,12253337500,1248,1294,1239,1278
PETR3       ,25210821900,1298,1347,1291,1340
PETR3       ,17894011000,1346,1397,1328,1357
PETR3       ,15802101900,1375,1384,1311,1327
PETR3       ,10424143600,1333,1353,1284,1327
PETR3       ,10553172500,1320,1320,1269,1282
PETR3       ,12336026800,1290,1330,1280,1296
PETR3       ,11312572800,1343,1354,1235,1264
PETR3       ,8042752200,1235,1313,1227,1293
PETR3       ,18021099300,1293,1294,1164,1207
PETR3       ,10565786100,1243,1285,1227,1285
PETR3       ,11348325900,1305,1334,1256,1291
PETR3       ,11276701500,1306,1335,1260,1271
PETR3       ,15261187500,1278,1296,1191,1212
PETR3       ,10104918800,1224,1292,1224,1254
PETR3       ,12161113300,1266,1278,1223,1240
PETR3       ,13884419600,1220,1254,1201,1201
PETR3       ,10770860600,1190,1191,1112,1151
PETR3       ,13407985400,1176,1215,1133,1133
PETR3       ,11421634400,1090,1123,1084,1104
PETR3       ,10798579600,1130,1150,1092,1109
PETR3       ,12211827300,1113,1142,1099,1110
PETR3       ,7451567900,1085,1100,1046,1049
PETR3       ,2800181800,1045,1092,1025,1058
PETR3       ,19522372600,1060,1095,1018,1018
PETR3       ,11078935500,1015,1052,995,1041
PETR3       ,9209924500,1038,1075,1020,1070
PETR3       ,8780331200,1079,1099,1067,1081
PETR3       ,8795786400,1098,1104,1074,1080
PETR3       ,14486571100,1075,1128,1068,1113
PETR3       ,15710104600,1125,1213,1125,1205
PETR3       ,7719060500,1196,1202,1162,1175
PETR3       ,11871929000,1139,1153,1103,1103
PETR3       ,9535221600,1088,1113,1070,1082
PETR3       ,12656731000,1079,1099,1030,1048
PETR3       ,19681579900,1046,1099,1039,1064
PETR3       ,12381471600,1054,1077,1031,1077
PETR3       ,16150351300,1101,1150,1101,1139
PETR3       ,15649835300,1172,1197,1160,1173
PETR3       ,10529115900,1170,1200,1137,1194
PETR3       ,12111538700,1201,1226,1165,1165
PETR3       ,11276599500,1192,1207,1183,1205
PETR3       ,17500184600,1120,1161,1104,1143
PETR3       ,21396078100,1143,1152,1063,1080
PETR3       ,11931232700,1123,1142,1106,1125
PETR3       ,10511993000,1148,1179,1131,1157
PETR3       ,11217598800,1145,1155,1125,1151
PETR3       ,11404349800,1155,1214,1142,1206
PETR3       ,2542246200,1211,1233,1199,1202
PETR3       ,8329571900,1172,1185,1122,1134
PETR3       ,9685242500,1115,1174,1101,1169
PETR3       ,23265810400,1191,1262,1180,1197
