CODNEG,1,2,3,4,PREULT
VALE3       ,12067215200,2170,2195,2106,2128
VALE3       ,17377643400,2076,2113,2051,2096
VALE3       ,21278871400,2127,2213,2107,2180
VALE3       ,13561804500,2232,2281,2197,2260
VALE3       ,10494106300,2277,2288,2211,2284
VALE3       ,8042626000,2259,2285,2229,2235
VALE3       ,10094096700,2211,2265,2193,2264
VALE3       ,13835349200,2270,2313,2251,2251
VALE3       ,23010114300,2180,2200,2069,2070
VALE3       ,12076719200,2080,2126,2045,2094
VALE3       ,8568070400,2105,2222,2085,2188
VALE3       ,4517045100,2145,2168,2130,2165
VALE3       ,4466379900,2208,2208,2152,2174
VALE3       ,6285013100,2187,2228,2151,2208
VALE3       ,8930779600,2235,2287,2176,2191
VALE3       ,15124141500,2150,2160,2047,2052
VALE3       ,9849304600,2001,2011,1957,1958
VALE3       ,10453982700,1937,1954,1858,1900
VALE3       ,7585289700,1872,1935,1865,1895
VALE3       ,15894541400,1900,1921,1791,1805
VALE3       ,13171670400,1770,1868,1765,1861
VALE3       ,12207109100,1895,1982,1865,1974
VALE3       ,20486150500,2034,2122,2013,2087
VALE3       ,15120691200,2088,2117,2016,2055
VALE3       ,9397196500,2056,2117,2043,2045
VALE3       ,8876111500,2021,2063,1996,2042
VALE3       ,9520606600,2025,2186,2021,2159
VALE3       ,11774838300,2128,2161,2040,2040
VALE3       ,11945173000,2033,2118,2033,2110
VALE3       ,12128881500,2170,2187,2127,2158
VALE3       ,15541588100,2189,2270,2181,2248
VALE3       ,13227278000,2270,2300,2268,2271
VALE3       ,10271309000,2288,2288,2204,2210
VALE3       ,5654681800,2221,2271,2195,2262
VALE3       ,12113801700,2210,2228,2138,2162
VALE3       ,14083656500,2165,2229,2159,2204
VALE3       ,10472700500,2183,2226,2180,2214
VALE3       ,15642577300,2187,2194,2088,2125
VALE3       ,10583095000,2135,2163,2111,2125
VALE3       ,9513055900,2116,2125,2039,2056
VALE3       ,9109330700,2071,2112,2062,2079
VALE3       ,12118085100,2048,2067,2009,2039
VALE3       ,14090256500,2038,2038,1939,1950
VALE3       ,14175427400,1945,1987,1907,1959
VALE3       ,10378190800,1943,1977,1915,1954
VALE3       ,10964633400,1913,1953,1904,1910
VALE3       ,21070261300,1913,1918,1878,1886
VALE3       ,19735377900,1912,1956,1886,1886
VALE3       ,26189807400,1860,1913,1815,1888
VALE3       ,14372322600,1907,1933,1853,1890
VALE3       ,16779476100,1898,2000,1897,1988
VALE3       ,18215396800,1955,1971,1913,1959
VALE3       ,6695504800,1965,1967,1915,1915
VALE3       ,20153007200,1947,2025,1909,2025
VALE3       ,9747194300,2033,2046,1988,2038
