CODNEG,1,2,3,4,PREULT
ABEV3       ,29820195400,1540,1630,1540,1615
ABEV3       ,36568968100,1601,1633,1589,1633
ABEV3       ,45333533200,1630,1669,1603,1655
ABEV3       ,28196451100,1657,1663,1634,1648
ABEV3       ,36074706200,1654,1670,1609,1615
ABEV3       ,27001075700,1620,1654,1611,1638
ABEV3       ,38952040600,1640,1700,1628,1685
ABEV3       ,125714492000,1702,1729,1688,1729
ABEV3       ,55460853100,1724,1766,1710,1754
ABEV3       ,62776312300,1757,1779,1730,1770
ABEV3       ,35398484900,1770,1784,1756,1780
ABEV3       ,39777918400,1768,1791,1748,1785
ABEV3       ,37931813900,1790,1800,1762,1800
ABEV3       ,16260316800,1793,1800,1764,1800
ABEV3       ,39948927300,1789,1808,1741,1754
ABEV3       ,46378497800,1760,1762,1708,1718
ABEV3       ,41476988800,1720,1730,1695,1716
ABEV3       ,58217250600,1710,1800,1709,1795
ABEV3       ,54111782400,1802,1820,1768,1787
ABEV3       ,34403315300,1797,1820,1763,1797
ABEV3       ,40195757900,1800,1810,1751,1751
ABEV3       ,35679843900,1754,1811,1753,1811
ABEV3       ,42624569900,1807,1848,1790,1845
ABEV3       ,43192792000,1838,1891,1833,1864
ABEV3       ,42125400500,1844,1866,1809,1809
ABEV3       ,77008603100,1819,1887,1819,1875
ABEV3       ,70291342400,1865,1898,1813,1822
ABEV3       ,53839765800,1825,1874,1811,1871
ABEV3       ,44995284100,1878,1905,1860,1867
ABEV3       ,60101022600,1886,1886,1830,1839
ABEV3       ,37588071500,1836,1867,1811,1859
ABEV3       ,27472282500,1858,1874,1840,1849
ABEV3       ,26417655600,1850,1851,1809,1819
ABEV3       ,29892053000,1819,1857,1816,1832
ABEV3       ,40397797600,1831,1854,1814,1815
ABEV3       ,27532178000,1824,1841,1815,1832
ABEV3       ,40290713500,1824,1832,1801,1832
ABEV3       ,18041428900,1830,1845,1825,1839
ABEV3       ,23426346700,1842,1858,1830,1849
ABEV3       ,31094517400,1843,1852,1827,1836
ABEV3       ,87319416100,1814,1815,1717,1723
ABEV3       ,62784261800,1714,1723,1661,1683
ABEV3       ,30199334300,1672,1677,1636,1637
ABEV3       ,33513493000,1637,1685,1631,1669
ABEV3       ,33970320100,1659,1670,1640,1659
ABEV3       ,41080437400,1669,1726,1662,1711
ABEV3       ,33899225600,1720,1733,1688,1700
ABEV3       ,34186694700,1698,1704,1674,1690
ABEV3       ,34307996800,1692,1692,1657,1666
ABEV3       ,53055201100,1666,1679,1649,1676
ABEV3       ,54577053400,1680,1752,1678,1731
ABEV3       ,28778776500,1727,1742,1717,1719
ABEV3       ,32440475900,1716,1730,1700,1700
ABEV3       ,61097778700,1689,1727,1668,1698
ABEV3       ,56672273000,1670,1690,1652,1672
ABEV3       ,29111694900,1665,1678,1643,1652
ABEV3       ,51680563700,1664,1716,1630,1699
ABEV3       ,54442472800,1680,1696,1645,1654
ABEV3       ,35268082400,1654,1694,1648,1675
ABEV3       ,26674672300,1687,1697,1670,1683
ABEV3       ,20799589100,1687,1700,1674,1682
ABEV3       ,26103099500,1700,1713,1672,1677
ABEV3       ,25036397900,1687,1712,1679,1684
ABEV3       ,26340697500,1695,1740,1689,1732
ABEV3       ,28305240100,1737,1765,1735,1744
ABEV3       ,18586498700,1744,1748,1716,1735
ABEV3       ,45091637100,1721,1769,1721,1769
ABEV3       ,35342243400,1770,1776,1738,1755
ABEV3       ,26427937600,1751,1764,1721,1725
ABEV3       ,51152280200,1706,1750,1700,1706
ABEV3       ,32658733000,1720,1742,1709,1742
ABEV3       ,23546236100,1738,1767,1734,1753
ABEV3       ,54321431900,1769,1769,1696,1705
ABEV3       ,36602224900,1720,1720,1686,1708
ABEV3       ,33984371100,1708,1756,1694,1750
ABEV3       ,24691499300,1756,1793,1755,1767
ABEV3       ,38469198900,1770,1778,1733,1772
ABEV3       ,52974243600,1763,1833,1760,1831
ABEV3       ,25809644700,1820,1837,1805,1829
ABEV3       ,27587796900,1830,1849,1822,1835
ABEV3       ,46225418600,1838,1854,1821,1847
ABEV3       ,42150593400,1826,1853,1795,1795
ABEV3       ,39231445500,1803,1810,1773,1792
ABEV3       ,29020108600,1770,1819,1757,1806
ABEV3       ,76418553000,1820,1823,1724,1765
ABEV3       ,63382680700,1780,1799,1764,1792
ABEV3       ,36335189200,1775,1783,1743,1749
ABEV3       ,26726534600,1750,1753,1717,1730
ABEV3       ,41935269300,1700,1719,1692,1701
ABEV3       ,31301838000,1706,1715,1676,1694
ABEV3       ,43849570100,1672,1682,1656,1661
ABEV3       ,46360241100,1650,1677,1635,1664
ABEV3       ,42947698500,1654,1697,1645,1649
ABEV3       ,71557382200,1659,1671,1640,1649
ABEV3       ,52825050800,1670,1723,1661,1709
