CODNEG,1,2,3,4,PREULT
B3SA3       ,67881458000,2685,2791,2668,2779
B3SA3       ,45850204600,2741,2912,2740,2900
B3SA3       ,62004167400,2868,2926,2784,2795
B3SA3       ,31894769300,2815,2815,2731,2780
B3SA3       ,31627827000,2796,2820,2755,2788
B3SA3       ,40995981900,2800,2840,2771,2801
B3SA3       ,35109078300,2805,2838,2780,2827
B3SA3       ,28894315900,2827,2898,2824,2887
B3SA3       ,45502889100,2889,2975,2884,2951
B3SA3       ,26813225500,2945,2964,2894,2922
B3SA3       ,24841531700,2918,2995,2883,2985
B3SA3       ,28806149100,2990,3004,2935,3000
B3SA3       ,38812117800,3000,3067,2980,3040
B3SA3       ,24578055100,3015,3063,2976,3050
B3SA3       ,22498031300,3020,3055,2969,2977
B3SA3       ,36265601100,3000,3116,2987,3116
B3SA3       ,75139090900,3108,3165,3060,3165
B3SA3       ,57122331200,3140,3223,3109,3223
B3SA3       ,31130650300,3248,3260,3136,3155
B3SA3       ,38335489000,3190,3196,3108,3147
B3SA3       ,36328736100,3161,3181,3120,3147
B3SA3       ,38650139800,3125,3194,3125,3194
B3SA3       ,24803337700,3188,3233,3130,3227
B3SA3       ,29457278000,3201,3311,3201,3298
B3SA3       ,59091727100,3260,3260,3199,3220
B3SA3       ,90486707500,3260,3265,3076,3100
B3SA3       ,39737770000,3080,3158,3073,3133
B3SA3       ,38440051200,3103,3111,3048,3078
B3SA3       ,36667478900,3104,3140,3071,3112
B3SA3       ,51250554800,3135,3137,3085,3104
B3SA3       ,35143104100,3085,3237,3070,3236
B3SA3       ,24241636600,3207,3254,3180,3232
B3SA3       ,20989122200,3190,3214,3170,3197
B3SA3       ,37722917900,3216,3282,3177,3280
B3SA3       ,46397452400,3267,3308,3230,3255
B3SA3       ,25080595500,3256,3278,3189,3235
B3SA3       ,26176114900,3290,3330,3253,3319
B3SA3       ,32252067700,3332,3379,3322,3345
B3SA3       ,24293187400,3347,3399,3346,3385
B3SA3       ,37528550500,3371,3383,3301,3333
B3SA3       ,32595865800,3343,3364,3263,3279
B3SA3       ,30896035300,3266,3290,3183,3188
B3SA3       ,17184574700,3208,3220,3161,3161
B3SA3       ,43212104500,3153,3165,3077,3109
B3SA3       ,33512609300,3105,3173,3079,3161
B3SA3       ,31895813100,3185,3295,3169,3290
B3SA3       ,20589449000,3305,3311,3233,3305
B3SA3       ,33543898800,3295,3361,3256,3328
B3SA3       ,20311755200,3312,3362,3294,3318
B3SA3       ,47552481800,3330,3410,3311,3387
B3SA3       ,26742538200,3400,3456,3398,3436
B3SA3       ,20247480000,3440,3475,3397,3468
B3SA3       ,30816005700,3455,3490,3397,3405
B3SA3       ,31752727300,3400,3411,3254,3347
B3SA3       ,47360279500,3259,3317,3214,3255
B3SA3       ,24490536200,3230,3296,3176,3248
B3SA3       ,34003649400,3280,3348,3242,3330
B3SA3       ,44870817800,3246,3264,3091,3127
B3SA3       ,45911506700,3111,3250,3069,3207
B3SA3       ,29575678600,3242,3242,3161,3212
B3SA3       ,19611355400,3224,3275,3212,3258
B3SA3       ,18440925300,3290,3290,3226,3266
B3SA3       ,42643892000,3288,3300,3153,3156
B3SA3       ,36385850600,3186,3274,3137,3274
B3SA3       ,21268899300,3278,3320,3240,3290
B3SA3       ,15675088300,3289,3325,3262,3300
B3SA3       ,26684926000,3280,3288,3186,3202
B3SA3       ,20813458100,3216,3239,3172,3214
B3SA3       ,24602546400,3210,3224,3117,3142
B3SA3       ,23628183100,3107,3174,3055,3068
B3SA3       ,25654524600,3110,3120,3023,3115
B3SA3       ,24965504800,3113,3194,3100,3145
B3SA3       ,45143250600,3166,3172,3020,3110
B3SA3       ,50193339100,3130,3227,3098,3195
B3SA3       ,12814424800,3180,3213,3160,3195
B3SA3       ,37505219200,3222,3298,3205,3284
B3SA3       ,65105275500,3279,3350,3251,3350
B3SA3       ,34971413100,3315,3506,3310,3477
B3SA3       ,21244833800,3459,3459,3369,3412
B3SA3       ,20009329700,3411,3455,3386,3440
B3SA3       ,27266658400,3445,3480,3400,3445
B3SA3       ,17731145500,3425,3465,3375,3390
B3SA3       ,19543544600,3398,3434,3390,3407
B3SA3       ,13750335600,3369,3378,3321,3370
B3SA3       ,29592396900,3334,3370,3281,3366
B3SA3       ,19950947200,3400,3468,3390,3435
B3SA3       ,17710066100,3395,3412,3351,3390
B3SA3       ,26254794500,3399,3405,3284,3330
B3SA3       ,23762055000,3257,3295,3214,3234
B3SA3       ,24570914300,3241,3316,3237,3260
B3SA3       ,44862529900,3181,3261,3170,3250
B3SA3       ,40251803800,3204,3224,3159,3190
B3SA3       ,34982919900,3141,3271,3126,3170
