CODNEG,1,2,3,4,PREULT
BBAS3       ,72338846000,4620,4970,4609,4860
BBAS3       ,43145235000,4850,4920,4785,4880
BBAS3       ,43176586500,4808,4983,4792,4880
BBAS3       ,45879993700,4883,4947,4817,4848
BBAS3       ,69302903400,4860,4905,4683,4793
BBAS3       ,79986092900,4835,4835,4748,4780
BBAS3       ,49534878200,4745,4881,4715,4850
BBAS3       ,33467978700,4848,4889,4812,4870
BBAS3       ,44139727000,4870,4983,4850,4983
BBAS3       ,45755848900,4953,4994,4897,4925
BBAS3       ,32724547500,4935,4942,4867,4878
BBAS3       ,63452238500,4884,4949,4840,4896
BBAS3       ,64076789200,4901,4943,4855,4855
BBAS3       ,39932074600,4862,4875,4770,4829
BBAS3       ,49416500100,4840,4892,4793,4820
BBAS3       ,49902213500,4845,4942,4820,4920
BBAS3       ,48656283400,4919,4957,4875,4895
BBAS3       ,40843902300,4800,4922,4800,4832
BBAS3       ,60072413100,4900,4993,4859,4993
BBAS3       ,42749129400,5000,5058,4947,5058
BBAS3       ,78328297100,5100,5275,5089,5186
BBAS3       ,44476918600,5156,5211,5121,5211
BBAS3       ,40719361800,5172,5346,5130,5310
BBAS3       ,61390529500,5265,5465,5265,5465
BBAS3       ,86222998900,5385,5392,5132,5132
BBAS3       ,80676228700,5200,5276,5010,5166
BBAS3       ,52022299400,5155,5276,5091,5173
BBAS3       ,48029432000,5200,5217,5020,5020
BBAS3       ,96190932000,5082,5347,5080,5329
BBAS3       ,77066895200,5329,5375,5165,5208
BBAS3       ,148391349100,5320,5498,5208,5474
BBAS3       ,68697546300,5470,5548,5427,5481
BBAS3       ,47871747600,5436,5478,5353,5427
BBAS3       ,74890068600,5443,5591,5432,5450
BBAS3       ,90426386700,5528,5552,5296,5296
BBAS3       ,55102381900,5345,5389,5290,5320
BBAS3       ,38476956000,5320,5350,5258,5309
BBAS3       ,53398590100,5367,5377,5220,5222
BBAS3       ,38202801600,5230,5292,5200,5250
BBAS3       ,32646374900,5247,5269,5185,5190
BBAS3       ,56137421600,5200,5214,5052,5060
BBAS3       ,47412741300,5076,5151,5066,5131
BBAS3       ,26358399400,5143,5213,5050,5060
BBAS3       ,42817404300,5060,5095,5015,5043
BBAS3       ,41426072900,5027,5235,4982,5220
BBAS3       ,61233619400,5234,5380,5233,5380
BBAS3       ,42647196600,5347,5379,5239,5334
BBAS3       ,51316806600,5320,5456,5291,5416
BBAS3       ,43451008300,5400,5410,5290,5375
BBAS3       ,68707859600,5370,5429,5349,5421
BBAS3       ,65277632500,5456,5460,5370,5380
BBAS3       ,44993930800,5400,5405,5253,5265
BBAS3       ,69162238600,5269,5288,5147,5147
BBAS3       ,79458919700,5157,5172,4967,5039
BBAS3       ,110789553500,4928,4929,4750,4765
BBAS3       ,65782124300,4738,4883,4700,4799
BBAS3       ,57342462000,4895,4925,4777,4912
BBAS3       ,90009012000,4825,4825,4640,4640
BBAS3       ,104541533500,4697,4872,4645,4802
