CODNEG,1,2,3,4,PREULT
BBDC4       ,93391217700,3865,4079,3842,4039
BBDC4       ,78562082200,4030,4089,3984,4078
BBDC4       ,60626810800,4045,4127,4000,4046
BBDC4       ,78319508800,4035,4129,4035,4094
BBDC4       ,86115275500,4105,4120,3999,4119
BBDC4       ,71853337700,4148,4190,4126,4190
BBDC4       ,78062190300,4161,4236,4140,4177
BBDC4       ,44839906100,4158,4177,4116,4150
BBDC4       ,36354158700,4160,4199,4133,4199
BBDC4       ,52565086900,4175,4200,4136,4191
BBDC4       ,45603364100,4171,4228,4169,4211
BBDC4       ,40767995700,4205,4249,4171,4225
BBDC4       ,53704159300,4256,4296,4230,4268
BBDC4       ,32909149200,4265,4278,4180,4219
BBDC4       ,41253515000,4219,4248,4167,4200
BBDC4       ,45852295900,4215,4272,4200,4272
BBDC4       ,69070309600,4247,4315,4247,4315
BBDC4       ,71365475600,4260,4380,4260,4350
BBDC4       ,58245256400,4395,4404,4294,4294
BBDC4       ,91449423400,4326,4340,4204,4284
BBDC4       ,143656827600,4455,4594,4421,4526
BBDC4       ,74143875300,4524,4525,4422,4470
BBDC4       ,78945063900,4431,4596,4403,4567
BBDC4       ,79488699500,4544,4619,4516,4569
BBDC4       ,76001698400,4504,4521,4334,4354
BBDC4       ,84824034800,4402,4455,4326,4420
BBDC4       ,82511965400,4405,4524,4372,4467
BBDC4       ,46510760700,4459,4479,4380,4441
BBDC4       ,91856411000,4509,4584,4461,4530
BBDC4       ,104124721700,4557,4566,4450,4460
BBDC4       ,98140819900,4475,4635,4376,4630
BBDC4       ,69462261300,4616,4650,4565,4600
BBDC4       ,44601212500,4569,4595,4459,4495
BBDC4       ,69640015800,4530,4592,4510,4533
BBDC4       ,64401346300,4570,4592,4458,4458
BBDC4       ,105732609000,4476,4509,4430,4497
BBDC4       ,122687010000,4530,4539,4402,4460
BBDC4       ,68170091500,4470,4485,4396,4415
BBDC4       ,74545462900,4416,4495,4397,4494
BBDC4       ,46164361100,4483,4500,4430,4444
BBDC4       ,72288641800,4454,4460,4316,4327
BBDC4       ,70191942800,4354,4354,4235,4255
BBDC4       ,35904305700,4272,4284,4196,4221
BBDC4       ,54145235200,4207,4261,4189,4251
BBDC4       ,44891115100,4240,4315,4182,4310
BBDC4       ,72897587900,4320,4485,4315,4485
BBDC4       ,59571545200,4486,4498,4428,4498
BBDC4       ,80063623900,4488,4564,4452,4541
BBDC4       ,68853888300,4526,4551,4477,4551
BBDC4       ,63690492700,4540,4586,4539,4570
BBDC4       ,31115353500,4587,4602,4554,4594
BBDC4       ,97742592200,4598,4598,4492,4495
BBDC4       ,102126808400,4510,4524,4366,4373
BBDC4       ,69126664300,4383,4400,4216,4277
BBDC4       ,103078523600,4213,4220,4078,4126
BBDC4       ,54283089100,4095,4189,4091,4135
BBDC4       ,60664582000,4185,4204,4135,4162
BBDC4       ,90568199700,4092,4118,4015,4018
BBDC4       ,94382818300,4020,4244,4000,4222
BBDC4       ,72041207300,4270,4294,4228,4294
BBDC4       ,60419387100,3639,3679,3586,3607
BBDC4       ,46607699700,3625,3666,3503,3559
BBDC4       ,43883402600,3587,3611,3485,3519
BBDC4       ,60063277800,3563,3614,3511,3610
BBDC4       ,43887951200,3621,3660,3577,3640
BBDC4       ,31406612400,3650,3660,3596,3645
BBDC4       ,51569440700,3622,3631,3561,3631
BBDC4       ,42764821900,3649,3649,3576,3579
BBDC4       ,35671817900,3572,3596,3482,3522
BBDC4       ,74207698000,3486,3571,3461,3490
BBDC4       ,58704501400,3525,3530,3457,3482
BBDC4       ,38131488400,3478,3524,3455,3476
BBDC4       ,83667492700,3491,3498,3371,3428
BBDC4       ,47592269600,3459,3520,3400,3475
BBDC4       ,37120118000,3474,3533,3434,3504
BBDC4       ,55862601900,3526,3610,3517,3589
BBDC4       ,56294972700,3585,3588,3500,3565
BBDC4       ,109661700100,3580,3607,3464,3607
BBDC4       ,37366181600,3597,3622,3575,3596
BBDC4       ,48212743600,3616,3630,3539,3549
BBDC4       ,33913665000,3554,3584,3511,3558
BBDC4       ,46166030000,3534,3582,3505,3560
BBDC4       ,54566418000,3569,3614,3558,3596
BBDC4       ,40296837800,3570,3579,3495,3499
BBDC4       ,59346865100,3489,3492,3398,3477
BBDC4       ,56384268400,3492,3593,3491,3549
BBDC4       ,36367144400,3510,3519,3455,3487
BBDC4       ,37833570600,3477,3508,3419,3456
BBDC4       ,47524691000,3390,3415,3357,3370
BBDC4       ,41714972500,3390,3402,3340,3360
BBDC4       ,61710632900,3322,3336,3272,3324
BBDC4       ,72543427200,3291,3321,3239,3285
BBDC4       ,79885431400,3273,3324,3243,3310
BBDC4       ,49410305700,3311,3400,3287,3400
BBDC4       ,78253629000,3420,3551,3384,3540
BBDC4       ,53596019000,3549,3551,3467,3477
BBDC4       ,48550617600,3450,3487,3401,3460
BBDC4       ,33353154200,3488,3490,3399,3426
BBDC4       ,30306827100,3458,3511,3436,3475
BBDC4       ,117160326400,3465,3578,3452,3571
BBDC4       ,75289180200,3549,3657,3543,3642
BBDC4       ,51221847000,3619,3709,3607,3709
BBDC4       ,50647800200,3680,3738,3675,3700
BBDC4       ,67630585600,3709,3729,3664,3688
BBDC4       ,54207401200,3713,3726,3671,3705
BBDC4       ,41121811800,3707,3730,3612,3648
BBDC4       ,45082978000,3698,3741,3656,3728
BBDC4       ,44446624200,3721,3776,3716,3729
