CODNEG,1,2,3,4,PREULT
ITSA4       ,31458677400,1211,1270,1208,1265
ITSA4       ,47852356800,1265,1276,1251,1276
ITSA4       ,41549093500,1266,1283,1256,1272
ITSA4       ,17099479500,1270,1282,1262,1271
ITSA4       ,22022538900,1271,1288,1255,1288
ITSA4       ,40743159000,1293,1307,1284,1305
ITSA4       ,60848011600,1300,1320,1294,1296
ITSA4       ,38495176100,1295,1296,1272,1280
ITSA4       ,23538318700,1281,1299,1277,1299
ITSA4       ,42675637400,1293,1293,1271,1291
ITSA4       ,33797454500,1291,1293,1280,1292
ITSA4       ,35357250800,1290,1296,1276,1294
ITSA4       ,29420038500,1294,1308,1292,1293
ITSA4       ,17738129900,1297,1297,1276,1288
ITSA4       ,31127134200,1286,1295,1270,1282
ITSA4       ,84084895800,1285,1311,1279,1299
ITSA4       ,50950264600,1300,1335,1300,1320
ITSA4       ,35661702300,1315,1356,1308,1349
ITSA4       ,26214412700,1354,1355,1327,1327
ITSA4       ,32442100200,1334,1342,1305,1342
ITSA4       ,35819626200,1342,1371,1341,1350
ITSA4       ,23137413500,1350,1355,1333,1354
ITSA4       ,22878053500,1350,1380,1335,1380
ITSA4       ,37133018900,1349,1355,1324,1337
ITSA4       ,36102958700,1330,1332,1280,1280
ITSA4       ,23283718600,1285,1303,1266,1282
ITSA4       ,52364170100,1279,1323,1273,1323
ITSA4       ,20409329500,1319,1322,1293,1314
ITSA4       ,23538411300,1325,1340,1317,1336
ITSA4       ,34418649800,1334,1339,1300,1307
ITSA4       ,35559162800,1309,1340,1288,1340
ITSA4       ,42207733100,1329,1334,1306,1323
ITSA4       ,20721951000,1321,1322,1295,1296
ITSA4       ,154978427700,1319,1342,1313,1323
ITSA4       ,149746576200,1344,1351,1319,1320
ITSA4       ,132428536600,1330,1356,1328,1356
ITSA4       ,37352539200,1290,1296,1275,1290
ITSA4       ,22634714000,1290,1296,1271,1281
ITSA4       ,23863113900,1284,1290,1280,1282
ITSA4       ,21392365400,1285,1288,1260,1264
ITSA4       ,31097245900,1268,1271,1233,1237
ITSA4       ,35138067800,1240,1249,1225,1226
ITSA4       ,19943506300,1238,1238,1204,1208
ITSA4       ,40105540200,1208,1239,1201,1229
ITSA4       ,21759114200,1226,1259,1218,1251
ITSA4       ,21881266600,1260,1289,1256,1286
ITSA4       ,24043768600,1288,1290,1275,1290
ITSA4       ,29955744200,1285,1304,1272,1298
ITSA4       ,23984459500,1295,1298,1267,1277
ITSA4       ,28245251600,1276,1288,1275,1280
ITSA4       ,15189353300,1284,1292,1277,1289
ITSA4       ,24773976800,1288,1289,1266,1269
ITSA4       ,23628443800,1269,1272,1246,1247
ITSA4       ,32780762200,1250,1253,1209,1228
ITSA4       ,35669270900,1210,1211,1180,1193
ITSA4       ,31967737700,1192,1207,1180,1196
ITSA4       ,35297668400,1208,1212,1191,1203
ITSA4       ,46067950700,1189,1189,1143,1143
ITSA4       ,32910730200,1143,1206,1136,1205
ITSA4       ,35732005000,1214,1217,1189,1198
ITSA4       ,20107692300,1210,1215,1190,1198
