CODNEG,1,2,3,4,PREULT
ITUB4       ,93340570900,3544,3714,3535,3700
ITUB4       ,81151159700,3675,3761,3645,3761
ITUB4       ,92296409400,3722,3771,3675,3698
ITUB4       ,62728321700,3680,3750,3675,3705
ITUB4       ,72517622900,3718,3757,3656,3752
ITUB4       ,76906474200,3790,3809,3758,3809
ITUB4       ,94024646500,3792,3839,3764,3783
ITUB4       ,51213983200,3760,3793,3730,3760
ITUB4       ,65660556200,3757,3788,3745,3788
ITUB4       ,153555603900,3768,3774,3688,3729
ITUB4       ,64194454300,3735,3739,3670,3718
ITUB4       ,95507754400,3704,3735,3674,3718
ITUB4       ,80238465000,3720,3778,3720,3766
ITUB4       ,28964130600,3750,3763,3705,3735
ITUB4       ,45343541800,3735,3758,3697,3729
ITUB4       ,101753489300,3745,3769,3696,3754
ITUB4       ,79712322600,3735,3773,3724,3749
ITUB4       ,85391651600,3707,3835,3707,3816
ITUB4       ,60390873700,3840,3855,3788,3788
ITUB4       ,73478840300,3822,3841,3740,3812
ITUB4       ,104852266500,3846,3939,3837,3878
ITUB4       ,52378658500,3860,3910,3834,3881
ITUB4       ,69394796300,3867,3979,3840,3969
ITUB4       ,272131231500,3856,3880,3762,3800
ITUB4       ,145478257100,3780,3789,3640,3640
ITUB4       ,112480911200,3682,3708,3606,3653
ITUB4       ,114350870600,3648,3755,3635,3731
ITUB4       ,67772070300,3731,3741,3660,3689
ITUB4       ,83321367900,3744,3799,3722,3777
ITUB4       ,117110842800,3792,3797,3685,3691
ITUB4       ,122033862400,3720,3789,3643,3789
ITUB4       ,100647614500,3769,3783,3719,3750
ITUB4       ,65234417600,3735,3750,3690,3690
ITUB4       ,85096578900,3730,3800,3719,3775
ITUB4       ,108595145900,3803,3838,3727,3727
ITUB4       ,95231776000,3765,3795,3726,3795
ITUB4       ,63792709000,3653,3666,3623,3666
ITUB4       ,45320412900,3675,3688,3608,3610
ITUB4       ,29196295000,3619,3642,3609,3623
ITUB4       ,36498443400,3622,3637,3591,3591
ITUB4       ,63656301200,3593,3602,3517,3523
ITUB4       ,56888157800,3549,3559,3484,3484
ITUB4       ,33667520300,3514,3522,3467,3485
ITUB4       ,66759065200,3480,3554,3467,3533
ITUB4       ,48146383300,3512,3589,3485,3575
ITUB4       ,73421208600,3585,3702,3583,3692
ITUB4       ,48280037700,3692,3700,3659,3700
ITUB4       ,82558260700,3682,3767,3670,3740
ITUB4       ,65590979100,3740,3740,3644,3681
ITUB4       ,70359751400,3673,3717,3648,3680
ITUB4       ,41707580600,3686,3706,3674,3686
ITUB4       ,127497251300,3700,3700,3600,3600
ITUB4       ,93283074600,3606,3622,3519,3519
ITUB4       ,109095592100,3531,3541,3410,3457
ITUB4       ,103136458300,3405,3412,3336,3355
ITUB4       ,67053940800,3349,3412,3330,3360
ITUB4       ,54449265300,3400,3411,3350,3395
ITUB4       ,93867243400,3343,3364,3279,3280
ITUB4       ,105056939400,3290,3434,3265,3410
ITUB4       ,67579355200,3452,3455,3392,3443
ITUB4       ,59089285600,3470,3480,3400,3416
ITUB4       ,55360430200,3425,3433,3353,3362
ITUB4       ,65599438900,3404,3419,3317,3332
ITUB4       ,61044861300,3369,3409,3325,3382
ITUB4       ,55768355300,3400,3467,3380,3455
ITUB4       ,31518886200,3460,3467,3415,3434
ITUB4       ,45442105900,3420,3422,3361,3415
ITUB4       ,89503784700,3440,3444,3381,3409
ITUB4       ,40465735800,3382,3404,3311,3330
ITUB4       ,97530104700,3300,3382,3265,3295
ITUB4       ,54475247800,3324,3333,3264,3293
ITUB4       ,56146323500,3272,3346,3272,3290
ITUB4       ,117168692000,3300,3320,3200,3239
ITUB4       ,57294340800,3252,3320,3212,3283
ITUB4       ,32956790600,3277,3315,3239,3274
ITUB4       ,44575255500,3300,3345,3300,3316
ITUB4       ,48349661700,3318,3324,3268,3321
