CODNEG,1,2,3,4,PREULT
JBSS3       ,7944751600,1158,1204,1138,1204
JBSS3       ,7146912900,1185,1223,1184,1223
JBSS3       ,9503573400,1207,1289,1199,1255
JBSS3       ,7988369700,1257,1267,1202,1211
JBSS3       ,8852502700,1220,1235,1204,1230
JBSS3       ,7632975900,1222,1255,1212,1220
JBSS3       ,7251483200,1227,1232,1193,1216
JBSS3       ,6032139300,1225,1251,1223,1248
JBSS3       ,5173616100,1258,1271,1250,1269
JBSS3       ,5560648000,1262,1278,1248,1262
JBSS3       ,7297193000,1266,1315,1258,1315
JBSS3       ,7735063600,1312,1350,1284,1340
JBSS3       ,8546243900,1336,1381,1326,1353
JBSS3       ,6470497100,1342,1372,1320,1370
JBSS3       ,9340868700,1392,1413,1337,1360
JBSS3       ,5887457400,1369,1410,1363,1408
JBSS3       ,7892765400,1412,1447,1397,1447
JBSS3       ,7394515400,1418,1480,1408,1480
JBSS3       ,7128681100,1481,1488,1458,1470
JBSS3       ,13590309300,1473,1565,1468,1530
JBSS3       ,16400042200,1531,1578,1509,1509
JBSS3       ,11756593000,1506,1542,1485,1487
JBSS3       ,8159499100,1487,1509,1462,1502
JBSS3       ,9095898200,1511,1523,1490,1498
JBSS3       ,12593540100,1480,1492,1403,1403
JBSS3       ,28306541700,1417,1458,1400,1433
JBSS3       ,12129625600,1422,1442,1395,1425
JBSS3       ,6893149100,1429,1448,1413,1435
JBSS3       ,7245332900,1447,1469,1446,1455
JBSS3       ,61608381600,1472,1477,1390,1438
JBSS3       ,7740654400,1447,1455,1419,1450
JBSS3       ,10310825900,1454,1500,1446,1482
JBSS3       ,6057159600,1490,1509,1467,1500
JBSS3       ,10004213300,1497,1497,1455,1479
JBSS3       ,9898813900,1485,1487,1423,1423
JBSS3       ,13680071100,1438,1452,1377,1392
JBSS3       ,6727715500,1407,1421,1380,1421
JBSS3       ,7065214700,1424,1429,1375,1397
JBSS3       ,5386453500,1400,1403,1368,1370
JBSS3       ,5252713700,1369,1376,1348,1376
JBSS3       ,7634447400,1376,1387,1343,1343
JBSS3       ,10291908900,1347,1413,1344,1412
JBSS3       ,10085919000,1390,1397,1331,1340
JBSS3       ,11649771400,1341,1354,1286,1307
JBSS3       ,9734292700,1305,1322,1280,1315
JBSS3       ,15338779300,1315,1349,1309,1325
JBSS3       ,13497012800,1337,1374,1334,1370
JBSS3       ,19724220400,1380,1412,1375,1412
JBSS3       ,11064487700,1410,1445,1400,1440
JBSS3       ,33521540400,1416,1501,1416,1485
JBSS3       ,15893252100,1499,1555,1485,1555
JBSS3       ,11534442300,1556,1560,1499,1499
JBSS3       ,12476910700,1498,1529,1470,1498
JBSS3       ,11413302800,1482,1488,1416,1465
JBSS3       ,12335527300,1435,1475,1411,1429
JBSS3       ,7193547900,1407,1475,1398,1444
JBSS3       ,14323233700,1471,1538,1425,1512
JBSS3       ,14393538200,1484,1489,1446,1462
JBSS3       ,16078040300,1468,1555,1463,1547
JBSS3       ,20673474600,1560,1621,1525,1592
JBSS3       ,10659131300,1611,1630,1566,1623
JBSS3       ,9418980400,1602,1619,1575,1586
JBSS3       ,13185192200,1591,1598,1540,1560
JBSS3       ,11941545800,1562,1593,1557,1578
JBSS3       ,25515151200,1591,1672,1590,1660
JBSS3       ,19441865100,1653,1725,1643,1725
JBSS3       ,19053888800,1706,1717,1687,1690
JBSS3       ,19276690000,1708,1717,1660,1711
