CODNEG,1,2,3,4,PREULT
LREN3       ,17627985500,4200,4391,4200,4355
LREN3       ,14919132900,4355,4355,4253,4300
LREN3       ,22003103200,4306,4306,4115,4135
LREN3       ,15956711500,4135,4172,4006,4040
LREN3       ,22104374300,4073,4178,4036,4170
LREN3       ,14292253500,4195,4299,4195,4260
LREN3       ,15003505500,4290,4316,4229,4266
LREN3       ,12724452400,4266,4270,4171,4171
LREN3       ,23674570400,4180,4236,4050,4095
LREN3       ,38318649100,4105,4170,4077,4080
LREN3       ,11656486500,4100,4170,4093,4170
LREN3       ,24210430700,4176,4373,4176,4325
LREN3       ,23168259400,4315,4437,4284,4385
LREN3       ,7674788000,4350,4367,4271,4300
LREN3       ,11281288600,4327,4353,4225,4240
LREN3       ,15422877400,4266,4372,4251,4319
LREN3       ,17658233500,4335,4444,4332,4444
LREN3       ,16885848800,4444,4537,4379,4527
LREN3       ,9972869300,4550,4566,4473,4559
LREN3       ,16234136400,4595,4616,4452,4542
LREN3       ,21585587800,4545,4624,4480,4550
LREN3       ,12891819000,4527,4640,4496,4566
LREN3       ,12137902900,4566,4630,4499,4600
LREN3       ,10116753000,4578,4614,4528,4547
LREN3       ,20721581800,4515,4516,4321,4321
LREN3       ,28344888300,4380,4429,4255,4335
LREN3       ,38259610800,4405,4421,4260,4350
LREN3       ,14940711900,4351,4374,4264,4300
LREN3       ,24052258700,4373,4500,4302,4466
LREN3       ,19091262500,4495,4495,4311,4350
LREN3       ,25774414700,4371,4480,4241,4466
LREN3       ,16861965300,4460,4468,4394,4415
LREN3       ,6630247800,4415,4437,4324,4424
LREN3       ,16625584800,4440,4484,4349,4460
LREN3       ,15040256600,4460,4494,4320,4340
LREN3       ,10075598800,4360,4408,4286,4330
LREN3       ,9149713700,4382,4474,4305,4470
LREN3       ,8060180500,4480,4522,4410,4439
LREN3       ,7401402200,4411,4466,4402,4440
LREN3       ,17228856100,4431,4440,4323,4405
LREN3       ,15342103600,4386,4432,4320,4328
LREN3       ,18376690000,4358,4389,4265,4333
LREN3       ,9490571400,4395,4395,4251,4349
LREN3       ,21564025800,4335,4346,4255,4281
LREN3       ,11638163500,4263,4421,4191,4386
LREN3       ,11538827000,4390,4581,4376,4563
LREN3       ,9108736200,4563,4563,4451,4515
LREN3       ,56045918900,4482,4515,4389,4436
LREN3       ,9048408300,4430,4441,4381,4420
LREN3       ,17382544900,4426,4468,4369,4399
LREN3       ,12796403800,4417,4507,4363,4458
LREN3       ,13081470600,4460,4494,4416,4444
LREN3       ,12971653900,4424,4480,4357,4400
LREN3       ,15071009000,4393,4399,4262,4306
LREN3       ,13743613300,4248,4302,4180,4265
LREN3       ,10965335400,4183,4274,4183,4202
LREN3       ,24142266800,4228,4244,4143,4231
LREN3       ,22034703000,4160,4219,4062,4101
LREN3       ,23502001600,4089,4269,4064,4230
LREN3       ,20715824700,4270,4380,4227,4380
LREN3       ,16782931400,4421,4428,4341,4379
LREN3       ,11968604000,4423,4423,4254,4327
LREN3       ,26537154900,4375,4443,4290,4320
LREN3       ,13145541900,4324,4420,4315,4400
LREN3       ,8200524000,4421,4443,4367,4400
LREN3       ,16305244400,4382,4387,4249,4281
LREN3       ,10909264500,4265,4314,4204,4254
LREN3       ,16639567300,4253,4297,4241,4269
LREN3       ,11536262600,4258,4258,4162,4190
LREN3       ,20991572100,4162,4194,4060,4156
LREN3       ,7508933800,4198,4198,4088,4130
