CODNEG,1,2,3,4,PREULT
PETR3       ,38743683200,2541,2695,2510,2665
PETR3       ,34301979500,2665,2743,2628,2720
PETR3       ,29692290100,2724,2756,2707,2751
PETR3       ,45908102800,2756,2910,2755,2840
PETR3       ,35733482300,2865,2877,2811,2825
PETR3       ,26840840600,2851,2898,2851,2882
PETR3       ,21962974200,2873,2878,2835,2868
PETR3       ,18440856500,2859,2859,2825,2850
PETR3       ,17761292500,2828,2870,2811,2840
PETR3       ,18040383800,2835,2870,2816,2831
PETR3       ,18234910300,2830,2854,2809,2854
PETR3       ,18427109900,2840,2900,2825,2878
PETR3       ,23761184200,2899,2930,2885,2915
PETR3       ,11350362900,2893,2930,2873,2929
PETR3       ,19348923200,2917,2920,2867,2885
PETR3       ,17736629300,2900,2937,2889,2915
PETR3       ,20572873700,2915,2946,2897,2946
PETR3       ,49287230400,2942,2972,2832,2842
PETR3       ,21307627100,2871,2940,2871,2904
PETR3       ,25601762000,2940,2970,2925,2944
PETR3       ,36086938400,2970,2997,2953,2955
PETR3       ,22023770700,2947,3005,2930,3002
PETR3       ,31632810800,2981,3052,2977,3036
PETR3       ,16174076600,3036,3072,3010,3055
PETR3       ,26889105300,3026,3048,2993,3001
PETR3       ,28211508500,3012,3059,2917,2948
PETR3       ,24148741400,2916,2960,2888,2927
PETR3       ,13135698400,2925,2928,2876,2890
PETR3       ,29651747700,2950,3004,2950,2994
PETR3       ,34561928400,3023,3082,3005,3065
PETR3       ,26127983500,3067,3134,3056,3129
PETR3       ,20125035400,3110,3144,3089,3105
PETR3       ,13122145100,3081,3098,3059,3069
PETR3       ,23455413000,3086,3150,3078,3126
PETR3       ,34975021300,3135,3174,3087,3126
PETR3       ,19049291400,3145,3161,3100,3143
PETR3       ,22289942200,3170,3179,3098,3125
PETR3       ,27130061400,3111,3120,3045,3050
PETR3       ,23951604600,3055,3109,3035,3051
PETR3       ,29975470500,3073,3109,3042,3067
PETR3       ,92531046300,3120,3125,2927,2986
PETR3       ,21672379500,2992,3007,2920,2920
PETR3       ,16795964500,2885,2948,2885,2948
PETR3       ,18938279500,2965,2965,2916,2922
PETR3       ,28183606500,2885,2912,2854,2900
PETR3       ,41553852200,2938,3073,2902,3064
PETR3       ,25435255100,3063,3086,3013,3013
PETR3       ,40404572000,3027,3125,3011,3094
PETR3       ,32821370200,3100,3149,3100,3129
PETR3       ,53640689200,3128,3177,3120,3162
PETR3       ,39956032300,3166,3248,3164,3226
PETR3       ,39976201400,3249,3325,3238,3277
PETR3       ,43857949300,3269,3370,3265,3297
PETR3       ,60678016700,3270,3293,3177,3231
PETR3       ,61465600400,3166,3190,3077,3077
PETR3       ,39005092100,3061,3116,3038,3065
PETR3       ,43304010400,3100,3193,3098,3193
PETR3       ,37976588800,3135,3145,3045,3045
PETR3       ,39368187100,3031,3117,3006,3096
PETR3       ,27852815900,3133,3157,3095,3115
PETR3       ,39127032900,3142,3159,3073,3087
PETR3       ,23927080200,3101,3126,3051,3100
PETR3       ,38443547700,3113,3126,3035,3035
PETR3       ,30724825700,3068,3141,3025,3135
PETR3       ,31479688400,3145,3216,3107,3205
PETR3       ,23093951800,3218,3305,3218,3274
PETR3       ,23330360500,3267,3276,3214,3245
PETR3       ,18445047900,3293,3300,3223,3227
PETR3       ,28771496400,3219,3228,3158,3185
PETR3       ,71192255500,3029,3052,2901,2913
PETR3       ,36663372000,2980,2980,2889,2911
PETR3       ,33793924400,2920,3037,2892,3015
PETR3       ,51583115400,3035,3062,2961,3018
PETR3       ,49124842700,3065,3119,3048,3076
PETR3       ,27591982600,3081,3122,3065,3087
PETR3       ,19476193700,3120,3149,3095,3112
PETR3       ,22820272000,3112,3129,3020,3058
PETR3       ,23710452200,3034,3104,3031,3066
PETR3       ,17524821800,3056,3068,3004,3039
PETR3       ,16510663100,3078,3078,3025,3025
PETR3       ,49635468100,3037,3068,2984,2996
PETR3       ,20765656400,2970,2981,2931,2951
PETR3       ,16337241900,2985,3002,2956,2956
PETR3       ,16136122600,2924,2954,2907,2954
PETR3       ,39280534400,2925,2936,2875,2922
PETR3       ,35179814000,2928,3047,2912,3022
PETR3       ,34679019200,2975,2981,2922,2936
PETR3       ,19878712200,2937,2942,2880,2935
PETR3       ,28699399800,2871,2905,2840,2851
PETR3       ,16203128700,2869,2883,2840,2852
PETR3       ,29600071000,2811,2839,2804,2832
PETR3       ,29804537200,2817,2871,2778,2778
PETR3       ,37567396100,2753,2818,2743,2756
PETR3       ,14977692100,2764,2811,2741,2807
PETR3       ,23438500300,2825,2880,2801,2880
PETR3       ,18198807100,2877,2890,2824,2877
PETR3       ,19271686200,2847,2854,2777,2827
PETR3       ,12986950200,2857,2873,2827,2833
PETR3       ,9268730400,2855,2892,2852,2874
PETR3       ,44605102600,2861,2913,2848,2913
PETR3       ,18451089100,2886,2913,2850,2890
PETR3       ,29336289200,2895,2934,2869,2885
PETR3       ,30650918300,2862,2898,2822,2823
PETR3       ,32609994400,2850,2922,2847,2885
PETR3       ,18384425800,2930,2930,2878,2902
PETR3       ,18718922900,2908,2917,2824,2861
PETR3       ,17064602000,2900,2938,2852,2906
PETR3       ,35391081200,2949,2991,2917,2985
PETR3       ,34664493500,2970,2985,2920,2935
PETR3       ,40946914000,2948,3010,2941,2995
PETR3       ,24608795400,2975,2989,2927,2951
PETR3       ,22232550800,3000,3019,2980,2991
PETR3       ,45791648600,2965,3019,2965,3019
PETR3       ,17677819700,3020,3055,2992,3015
PETR3       ,21585705800,3044,3072,3027,3061
PETR3       ,25357149700,3050,3084,3039,3084
PETR3       ,49067885900,3111,3203,3111,3179
PETR3       ,27741530200,3188,3200,3159,3166
PETR3       ,47194751000,3150,3154,3058,3070
PETR3       ,207063155000,3031,3092,3025,3055
PETR3       ,121936068400,3026,3039,2958,2989
PETR3       ,45765967100,3011,3045,2971,3002
PETR3       ,59595664000,3044,3065,2980,2992
PETR3       ,57984341700,2986,3000,2920,2947
PETR3       ,23821383300,2961,2988,2942,2977
PETR3       ,19289217600,3000,3036,3000,3016
PETR3       ,28167293600,3002,3030,2982,3003
PETR3       ,26254199900,3008,3061,3001,3061
PETR3       ,68458296100,3081,3098,3060,3072
PETR3       ,42245389500,3083,3140,3073,3130
PETR3       ,31629166700,3138,3167,3124,3150
PETR3       ,20099678700,3161,3161,3096,3097
PETR3       ,23403305900,3089,3115,3040,3060
PETR3       ,19665990400,3071,3072,3025,3040
PETR3       ,26895447800,3050,3050,2991,3007
PETR3       ,22576215200,3009,3019,2984,3006
PETR3       ,13599258600,3020,3032,2991,3010
PETR3       ,27037609600,3014,3038,2996,3025
PETR3       ,22706280500,3029,3049,2995,3000
PETR3       ,17622684300,3011,3020,2932,2946
PETR3       ,36231082900,2939,2939,2841,2854
PETR3       ,17759048600,2854,2892,2835,2889
PETR3       ,18875846600,2869,2905,2856,2870
PETR3       ,24059805300,2900,2901,2846,2879
PETR3       ,33361734000,2904,2920,2786,2835
PETR3       ,38990955400,2919,2974,2889,2921
PETR3       ,34368142600,2859,2868,2793,2800
PETR3       ,32548641800,2841,2872,2823,2847
PETR3       ,53625533200,2802,2832,2746,2820
PETR3       ,23117178400,2877,2887,2834,2887
PETR3       ,16106639400,2884,2915,2858,2862
PETR3       ,18713782900,2831,2836,2778,2785
PETR3       ,29140503900,2751,2828,2729,2796
PETR3       ,40111478300,2750,2762,2695,2710
PETR3       ,32308661900,2713,2720,2631,2650
PETR3       ,29080899400,2701,2706,2622,2638
PETR3       ,26577327700,2678,2702,2650,2674
PETR3       ,17676875600,2676,2686,2632,2649
PETR3       ,50724194600,2689,2846,2670,2790
PETR3       ,29191083100,2801,2826,2753,2763
PETR3       ,25082037500,2724,2767,2664,2676
PETR3       ,30608649900,2689,2709,2633,2641
PETR3       ,39738074500,2676,2728,2644,2691
PETR3       ,17087952300,2680,2735,2680,2710
PETR3       ,22073232700,2740,2812,2730,2812
PETR3       ,34424464600,2817,2834,2776,2827
PETR3       ,12237663300,2805,2836,2797,2797
PETR3       ,28049276700,2766,2825,2761,2811
PETR3       ,20189749700,2854,2898,2852,2882
PETR3       ,20090250200,2902,2942,2894,2900
PETR3       ,14186892400,2904,2943,2880,2919
PETR3       ,19029221700,2949,2990,2925,2977
PETR3       ,24057844200,2994,3030,2965,3000
PETR3       ,30221756900,3020,3028,2946,2947
PETR3       ,26837409100,2955,2998,2925,2983
PETR3       ,11577865500,2991,3014,2966,2966
PETR3       ,43605017500,3115,3130,3051,3100
PETR3       ,22812573100,3059,3072,2999,3052
PETR3       ,15137449800,3020,3035,3002,3002
PETR3       ,17301955300,3070,3077,3023,3024
PETR3       ,51382734600,3042,3044,3008,3032
PETR3       ,17518289700,3018,3063,3010,3045
PETR3       ,13596851800,3042,3051,2999,3006
PETR3       ,13416365500,2995,3013,2956,3010
PETR3       ,13829361500,3011,3046,3000,3035
PETR3       ,21513439400,3030,3087,3023,3042
PETR3       ,16160600900,3044,3044,3015,3015
PETR3       ,24864663600,3016,3041,2984,2998
PETR3       ,25448010500,2962,2977,2880,2890
PETR3       ,21770711300,2902,2912,2824,2912
PETR3       ,26623526600,2911,2925,2841,2885
PETR3       ,19889574700,2863,2890,2805,2840
PETR3       ,20995243900,2834,2873,2820,2822
PETR3       ,21330909800,2852,2910,2841,2893
PETR3       ,16141156700,2895,2937,2884,2907
PETR3       ,22622088500,2930,2981,2928,2950
PETR3       ,11855147900,2950,2973,2916,2967
PETR3       ,21595649900,2970,3030,2966,3007
PETR3       ,26059883600,3017,3051,2982,3049
PETR3       ,18393071900,3029,3056,2997,3020
PETR3       ,23452334000,3031,3057,2992,2995
PETR3       ,16632191600,3001,3035,2997,3035
PETR3       ,36799477600,3033,3145,3033,3128
PETR3       ,23738833300,3121,3164,3113,3143
PETR3       ,36499361600,3153,3173,3063,3081
PETR3       ,42924822300,3169,3228,3153,3171
PETR3       ,16780188200,3170,3213,3156,3195
