CODNEG,1,2,3,4,PREULT
VALE3       ,87748583000,5001,5137,4979,5109
VALE3       ,148468069200,5080,5094,4840,4900
VALE3       ,223319922300,4982,5245,4982,5219
VALE3       ,110321151100,5287,5365,5172,5191
VALE3       ,104109426200,5220,5280,5162,5241
VALE3       ,148475356200,5316,5406,5283,5369
VALE3       ,95712081500,5323,5329,5227,5310
VALE3       ,65256222600,5326,5346,5238,5238
VALE3       ,76343564100,5198,5270,5143,5260
VALE3       ,76133762300,5285,5320,5187,5235
VALE3       ,80933485500,5240,5282,5220,5265
VALE3       ,137141171800,5244,5471,5227,5423
VALE3       ,141948663500,5495,5560,5425,5476
VALE3       ,58625964200,5485,5535,5439,5528
VALE3       ,93840465300,5448,5508,5435,5508
VALE3       ,74943479200,5546,5590,5533,5565
VALE3       ,79044291200,5580,5620,5550,5615
VALE3       ,814784357900,4500,4800,4236,4238
VALE3       ,296927640600,4327,4469,4260,4274
VALE3       ,313719311500,4625,4680,4498,4660
VALE3       ,184332580500,4699,4744,4550,4550
VALE3       ,97968402900,4572,4633,4558,4625
VALE3       ,160227242100,4600,4610,4405,4468
VALE3       ,97991057800,4445,4521,4381,4464
VALE3       ,127579976400,4400,4440,4246,4246
VALE3       ,131447337200,4215,4279,4121,4159
VALE3       ,202524555800,4064,4359,4051,4316
VALE3       ,130741942400,4386,4405,4189,4202
VALE3       ,158000232900,4250,4433,4205,4430
VALE3       ,173580860000,4431,4599,4430,4549
VALE3       ,109471584600,4539,4594,4505,4566
VALE3       ,127453304800,4540,4602,4519,4588
VALE3       ,85397697500,4579,4615,4490,4525
VALE3       ,93601253600,4550,4594,4523,4549
VALE3       ,116418777700,4590,4608,4494,4580
VALE3       ,97324427200,4584,4609,4513,4538
VALE3       ,81571046900,4570,4706,4557,4699
VALE3       ,79126751500,4735,4775,4640,4712
VALE3       ,48748321400,4679,4729,4660,4720
VALE3       ,70234104200,4725,4725,4634,4683
VALE3       ,83550819700,4658,4710,4610,4710
VALE3       ,138418496900,4729,4750,4455,4674
VALE3       ,72649103300,4743,4805,4719,4805
VALE3       ,102683053100,4783,4896,4772,4886
VALE3       ,123086571900,4826,4889,4765,4885
VALE3       ,100294275300,4890,4995,4861,4988
VALE3       ,77941628800,4980,5033,4955,4997
VALE3       ,111080224400,4994,5100,4970,5070
VALE3       ,87148546100,5080,5093,5020,5071
VALE3       ,132295365000,5080,5124,5040,5055
VALE3       ,115449577400,5025,5067,4983,5046
VALE3       ,165329911800,5070,5239,5059,5190
VALE3       ,130934663100,5145,5168,5040,5056
VALE3       ,100179849700,5053,5147,5051,5089
VALE3       ,129581391100,5047,5133,4970,5005
VALE3       ,78860909800,4960,5031,4916,4955
VALE3       ,67463043900,4981,5070,4980,5028
VALE3       ,103769605100,5005,5074,4931,4960
VALE3       ,140995524800,5051,5060,4862,4930
VALE3       ,128375560600,4995,5160,4995,5093
VALE3       ,133745805100,5235,5305,5210,5260
VALE3       ,111987341700,5305,5330,5163,5163
VALE3       ,112506954200,5278,5283,5161,5178
VALE3       ,73663873000,5200,5246,5162,5216
VALE3       ,43444772900,5220,5236,5170,5198
VALE3       ,76225546900,5250,5339,5236,5339
VALE3       ,77564799800,5318,5330,5230,5235
VALE3       ,81505052400,5274,5274,5152,5176
VALE3       ,52810954800,5150,5186,5093,5179
VALE3       ,87923135300,5209,5272,5131,5148
VALE3       ,81034815200,5159,5172,5078,5133
VALE3       ,99137268200,5127,5316,5084,5310
VALE3       ,139740745800,5316,5380,5170,5225
VALE3       ,56250985200,5220,5297,5201,5258
VALE3       ,83746987200,5195,5200,5080,5130
